role,manufacturer,MPN,quantity,status,source
C204: CHB local output,see source,10uF_50V_polymer,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C205: CHB local output,see source,1uF_50V_ceramic,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C206: Ideal diode VS decoupling,see source,100nF_100V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C207: Ideal diode charge pump,see source,100nF_25V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C208: Ideal diode input bypass,see source,100nF_100V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C209: THN ripple-test external capacitor,see source,6.8uF_20pct_50V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C210: THN ripple-test external capacitor,see source,6.8uF_20pct_50V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
D201: Input surge clamp: wiring L and fuse coordination not verified,Diodes Incorporated,SMBJ30A-13-F,1,SELECTED_FOOTPRINT_CANDIDATE_QUALIFICATION_OPEN,"https://www.diodes.com/datasheet/download/SMBJ5.0%28C%29A-SMBJ170%28C%29A.pdf; DS19002 Rev20-2 May2017 pp1,5-6; online read"
D202: Output negative clamp A=return K=precharged rail,STMicroelectronics,STPS3H100U,1,SELECTED_FOOTPRINT_CANDIDATE_QUALIFICATION_OPEN,"https://www.st.com/resource/en/datasheet/stps3h100.pdf; DS6597 Rev3 pp5-6,9; online read, local requests timed out"
U202: Always-on independent isolated STOP supply,see source,THN 30-2415WIR,1,SELECTED_CANDIDATE,"thn30wir_20260901.pdf pp2-4,6"
"U204: Common-drain reverse blocker; OV grounded, no motor clamp credit",see source,LM74800QDRRRQ1,1,SELECTED_CANDIDATE,"lm7480_q1.pdf RevC pp3-4; EP is project pad ID, not numbered OEM pin"
Q202: Common-drain N-channel power MOSFET,see source,CSD19536KTT,1,SELECTED_CANDIDATE,"csd19536ktt.pdf RevC May2025 pp1,3"
Q203: Common-drain N-channel power MOSFET,see source,CSD19536KTT,1,SELECTED_CANDIDATE,"csd19536ktt.pdf RevC May2025 pp1,3"
J201: Probe only; never bridge pins to bypass startup supervisor,see source,PROJECT_CHB_ENABLE_TEST_POINTS_NO_JUMPER,1,NO_JUMPER_DESIGN,PROJECT connector; external isolated enable driver unimplemented
"J202: Manual reset test pads, no automatic rearm",see source,PROJECT_HOTSWAP_RESET,1,SELECTED_CANDIDATE,LM5069 RevG reset low; TIMER<0.3V required
TP201: PGD now feeds U206 MR via input-side bias; low-input false-high independently screened,see source,PROJECT_PRECHARGE_PGD,1,CONNECTED_TO_STARTUP_SUPERVISOR,LM5069 RevG p12
"J203: Load-side sink now connected; energy, dynamic and thermal qualification OPEN",see source,PROJECT_LOAD_SIDE_BRAKE_PORT,1,ABSOLUTE_SINK_CIRCUIT_INTEGRATED_NOT_QUALIFIED,PROJECT connector: absolute voltage brake required
U205: Input-side startup bias; unrelated to load-side brake bias,Analog Devices,LT3013EDE#PBF,1,SELECTED_FOOTPRINT_CANDIDATE_QUALIFICATION_OPEN,"https://www.analog.com/media/en/technical-documentation/data-sheets/3013fe.pdf; RevE pp2,11,19"
U206: Qualify MAIN_FUSED voltage and PGD before CHB enable,Texas Instruments,TPS3808G01DBVR,1,SELECTED_FOOTPRINT_CANDIDATE_QUALIFICATION_OPEN,"https://www.ti.com/lit/ds/symlink/tps3808.pdf; RevN DBV pp4,36-37"
"Q204: Primary-side open-drain CHB enable; DiodesInc part, not Nexperia EOL variant",DiodesInc,2N7002K-7,1,SELECTED_FOOTPRINT_CANDIDATE_QUALIFICATION_OPEN,"https://www.diodes.com/assets/datasheets/ds30896.pdf; DS30896 Rev20-2 pp1,7; online read, local PDF absent"
R211: Startup bias feedback upper; nominal5.99V,Vishay,TNPW060338K3BEEA,1,SELECTED_CANDIDATE_THERMAL_LIFE_AND_LAYOUT_OPEN,https://www.vishay.com/docs/28758/tnpw_e3.pdf; 28758 Rev10-Apr-2026
R212: Startup bias feedback lower,Vishay,TNPW060310K0BEEA,1,SELECTED_CANDIDATE_THERMAL_LIFE_AND_LAYOUT_OPEN,https://www.vishay.com/docs/28758/tnpw_e3.pdf; 28758 Rev10-Apr-2026
R213: Bias minimum-load bleeder,Vishay,TNPW06034K70FEEA,1,SELECTED_CANDIDATE_THERMAL_LIFE_AND_LAYOUT_OPEN,https://www.vishay.com/docs/28758/tnpw_e3.pdf; 28758 Rev10-Apr-2026
R214: PGD pull-up placed at U201; receiver pull-down detects downstream link opening,Vishay,TNPW06033K48BEEA,1,SELECTED_CANDIDATE_THERMAL_LIFE_AND_LAYOUT_OPEN,https://www.vishay.com/docs/28758/tnpw_e3.pdf; 28758 Rev10-Apr-2026
R215: Upstream MAIN_FUSED UV sense upper; not capacitor-side rail,Vishay,TNPW0805374KBEEA,1,SELECTED_CANDIDATE_THERMAL_LIFE_AND_LAYOUT_OPEN,https://www.vishay.com/docs/28758/tnpw_e3.pdf; 28758 Rev10-Apr-2026
R216: Upstream UV sense lower,Vishay,TNPW060310K0BEEA,1,SELECTED_CANDIDATE_THERMAL_LIFE_AND_LAYOUT_OPEN,https://www.vishay.com/docs/28758/tnpw_e3.pdf; 28758 Rev10-Apr-2026
R217: RESET gate pull-up; bounds5V gate floor and6.5V RESET ceiling; POR load remains open,Vishay,TNPW060333K0FEEA,1,SELECTED_CANDIDATE_THERMAL_LIFE_AND_LAYOUT_OPEN,https://www.vishay.com/docs/28758/tnpw_e3.pdf; 28758 Rev10-Apr-2026
R218: Passive gate discharge when startup bias absent,Vishay,TNPW12102M20FEEA,1,SELECTED_CANDIDATE_THERMAL_LIFE_AND_LAYOUT_OPEN,https://www.vishay.com/docs/28758/tnpw_e3.pdf; 28758 Rev10-Apr-2026
R219: CHB control pull-up to precharged input; no floating off state,Vishay,TNPW0603100KFEEA,1,SELECTED_CANDIDATE_THERMAL_LIFE_AND_LAYOUT_OPEN,https://www.vishay.com/docs/28758/tnpw_e3.pdf; 28758 Rev10-Apr-2026
R220: MR receiver pull-down dominates internal70k pull-up on link open,Vishay,TNPW060310K0FEEA,1,SELECTED_CANDIDATE_THERMAL_LIFE_AND_LAYOUT_OPEN,https://www.vishay.com/docs/28758/tnpw_e3.pdf; 28758 Rev10-Apr-2026
"R221: PGD signal series link; source-side pull-up, receiver-side pull-down",Vishay,TNPW0603100RFEEA,1,SELECTED_CANDIDATE_THERMAL_LIFE_AND_LAYOUT_OPEN,https://www.vishay.com/docs/28758/tnpw_e3.pdf; 28758 Rev10-Apr-2026
C211: Startup bias local input,WIMA,MKS2D041501M00JSSD,1,SELECTED_CANDIDATE_EFFECTIVE_C_IMPEDANCE_LAYOUT_OPEN,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf; 03.26
C212: Startup bias stability; MPN and derating still open,WIMA,MKS2D044701O00JSSD,1,SELECTED_CANDIDATE_EFFECTIVE_C_IMPEDANCE_LAYOUT_OPEN,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf; 03.26
C213: Supervisor bypass,WIMA,MKP2D031001F00JSSD,1,SELECTED_CANDIDATE_EFFECTIVE_C_IMPEDANCE_LAYOUT_OPEN,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf; 03.26
U301: Load-side12V bias with reverse-output protection,see source,LT3013EDE#PBF,1,SELECTED_CANDIDATE,"lt3013.pdf RevE pp2,3,11-13,17"
U302: Absolute bus comparator; startup/propagation bounds OPEN,see source,TLV6700DDCR,1,SELECTED_CANDIDATE,"tlv6700.pdf RevB pp3,5,6"
U303: One gate driver; ON only with PG high and OV low,see source,UCC27511DBVR,1,SELECTED_CANDIDATE,"ucc27511.pdf RevF pp6,9,10"
R301: 12V bias upper,see source,86.6k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R302: 12V bias lower,see source,10k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R303: PG pullup; never exceed50uA sink,see source,270k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R304: Bias minimum load,see source,10k_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R305: Absolute OV sense upper,see source,676k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R306: Absolute OV sense lower,see source,10k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R307: OV high normal pullup,see source,10k_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C301: Bias input bypass; MPN not released,see source,1uF_100V_EFFECTIVE_MIN1uF,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C302: Bias output stability capacitor; derating unbound,see source,10uF_50V_EFFECTIVE_MIN3.3uF,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C303: PG delay; max startup duration unbound,see source,4.7nF_10pct_16V_C0G,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C304: OV comparator local bypass,see source,100nF_25V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C305: Gate driver local bypass,see source,1uF_25V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C306: OV input filter; wiring noise not qualified,see source,100pF_5pct_C0G,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
RB301: 1ohm branch resistor; pulse/heat-path not yet qualified,see source,LPS0300H1R00JB,1,SELECTED_CANDIDATE,"lps300.pdf pp1-4; terminals project IDs, electrically interchangeable"
Q301: Dedicated switch for resistor branch 1,see source,CSD19536KTT,1,SELECTED_CANDIDATE,"csd19536ktt.pdf RevC pp1,3"
D311: Local resistor inductance recirculation; both anodes tied,see source,STPS30H100CT,1,SELECTED_CANDIDATE,"stps30h100c.pdf Rev9 pp1,2,8"
R311: Separate turn-on gate resistor,see source,10ohm_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R312: Separate turn-off gate resistor,see source,2.2ohm_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R313: Local gate-source passive discharge,see source,10k_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
U311: Hot/short and open-sensor alarm for branch 1,see source,TLV6700DDCR,1,SELECTED_CANDIDATE,"tlv6700.pdf RevB pp3,5"
RT311: Temperature sensor at resistor body; attachment lag unbound,see source,NTCLE100E3103GB0,1,SELECTED_CANDIDATE,"ntcle100.pdf Doc29049;10k2pct,B25/85=3977K"
R341: Sensor bias from independent STOP3V3,see source,8.2k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R342: Open-sensor window upper,see source,649k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R343: Open-sensor window lower,see source,100k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C311: Temperature comparator bypass,see source,100nF_25V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
RB302: 1ohm branch resistor; pulse/heat-path not yet qualified,see source,LPS0300H1R00JB,1,SELECTED_CANDIDATE,"lps300.pdf pp1-4; terminals project IDs, electrically interchangeable"
Q302: Dedicated switch for resistor branch 2,see source,CSD19536KTT,1,SELECTED_CANDIDATE,"csd19536ktt.pdf RevC pp1,3"
D312: Local resistor inductance recirculation; both anodes tied,see source,STPS30H100CT,1,SELECTED_CANDIDATE,"stps30h100c.pdf Rev9 pp1,2,8"
R314: Separate turn-on gate resistor,see source,10ohm_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R315: Separate turn-off gate resistor,see source,2.2ohm_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R316: Local gate-source passive discharge,see source,10k_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
U312: Hot/short and open-sensor alarm for branch 2,see source,TLV6700DDCR,1,SELECTED_CANDIDATE,"tlv6700.pdf RevB pp3,5"
RT312: Temperature sensor at resistor body; attachment lag unbound,see source,NTCLE100E3103GB0,1,SELECTED_CANDIDATE,"ntcle100.pdf Doc29049;10k2pct,B25/85=3977K"
R344: Sensor bias from independent STOP3V3,see source,8.2k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R345: Open-sensor window upper,see source,649k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R346: Open-sensor window lower,see source,100k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C312: Temperature comparator bypass,see source,100nF_25V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
RB303: 1ohm branch resistor; pulse/heat-path not yet qualified,see source,LPS0300H1R00JB,1,SELECTED_CANDIDATE,"lps300.pdf pp1-4; terminals project IDs, electrically interchangeable"
Q303: Dedicated switch for resistor branch 3,see source,CSD19536KTT,1,SELECTED_CANDIDATE,"csd19536ktt.pdf RevC pp1,3"
D313: Local resistor inductance recirculation; both anodes tied,see source,STPS30H100CT,1,SELECTED_CANDIDATE,"stps30h100c.pdf Rev9 pp1,2,8"
R317: Separate turn-on gate resistor,see source,10ohm_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R318: Separate turn-off gate resistor,see source,2.2ohm_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R319: Local gate-source passive discharge,see source,10k_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
U313: Hot/short and open-sensor alarm for branch 3,see source,TLV6700DDCR,1,SELECTED_CANDIDATE,"tlv6700.pdf RevB pp3,5"
RT313: Temperature sensor at resistor body; attachment lag unbound,see source,NTCLE100E3103GB0,1,SELECTED_CANDIDATE,"ntcle100.pdf Doc29049;10k2pct,B25/85=3977K"
R347: Sensor bias from independent STOP3V3,see source,8.2k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R348: Open-sensor window upper,see source,649k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R349: Open-sensor window lower,see source,100k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C313: Temperature comparator bypass,see source,100nF_25V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
main input terminals J204 J205 J206 J207,Wuerth Elektronik,74651195R,4,PROTOTYPE_CANDIDATE_LUG_SOLDER_TORQUE_UNQUALIFIED,terminal_v29/74651195R.pdf
V30 local terminal lug,TE Connectivity,130191,4,CANDIDATE__CRIMP_QUALIFICATION_OPEN,sources/lugs_v30/130191_A3.pdf
"V30 local wire length in metres, includes barrel insertion",TE Connectivity,55A0111-10-9,0.1854,LOCAL_FOUR_SEGMENTS_ONLY__NOT_FINAL_CUT_LIST,power/LUG_HARNESS_SELECTION_V30.json
V30 M5 terminal nut,HPC Europe,SHN-5/BR/B,4,CANDIDATE__TORQUE_AND_LOCKING_OPEN,sources/lugs_v30/HPC_SHNbr.pdf
V30 M5 terminal washer,ETTINGER,003.05.059,4,CANDIDATE__ABOVE_LUG_ONLY,sources/lugs_v30/ETTINGER_00305059.pdf
V30 guide and matched V-groove base,PROJECT,MC02_V30_PEEK450G,2,DIGITAL_SIZE_FAMILY__CLAMP_PRELOAD_OPEN,coupled_closure/main_input_lugs_v30.step.py
V30 two-pole cover and upper clamp,PROJECT,MC03_V30_PEEK450G,2,DIGITAL_SIZE_FAMILY__CLAMP_PRELOAD_OPEN,coupled_closure/main_input_lugs_v30.step.py
V30 clamp screws,STANDARD,ISO4762 M3x30,4,REFERENCE__PROCUREMENT_GRADE_AND_PRELOAD_OPEN,sources/lugs_v30/HARDWARE_CATALOG_RESOLVED.json
V30 clamp nuts,STANDARD,ISO4032 M3,4,REFERENCE__PROCUREMENT_GRADE_AND_PRELOAD_OPEN,sources/lugs_v30/HARDWARE_CATALOG_RESOLVED.json
V30 clamp washers,STANDARD,ISO7089 3.2x7x0.5,8,REFERENCE__PROCUREMENT_GRADE_OPEN,sources/lugs_v30/ASPEN_DIN125.pdf
