schema,FASTENER_SCHEDULE_V1
generated_local,2026-08-22T01:29:31+08:00
item_id,joint_or_location,fastener_spec,thread_class,material_candidate,material_candidate_status,quantity,role,length_candidate_mm,notes,status
M7_EXEC_PLAN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_EXECUTION_PLAN_V1.md,ad406aca2ab12fdc794e8bbab8b32ad33ab1ece6fee3bf332049de3951d8c68b,,,,,,,,
CDR_AUTHORIZED_LOADS,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/02_wp1_loads/AUTHORIZED_MECHANICAL_LOADS_V1.yaml,82e331239d6eb86ee4b617145022e62133f5d837403119cdad2add83bcb78797,,,,,,,,
CDR_LOAD_CASES,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/02_wp1_loads/LOAD_CASE_MATRIX.csv,cc37f1dfab7bb5be219c7df78f2276ce605475f8990e50101502fcc4f521eee5,,,,,,,,
CDR_LOAD_COMBOS,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/02_wp1_loads/LOAD_COMBINATION_MATRIX.csv,a2f60430fb7b6223e67c71234fa66637613dc31857c72d1cf45df1f82289cb6c,,,,,,,,
CDR_CAPTURE_ENVELOPE,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/02_wp1_loads/DERIVED_CAPTURE_LOAD_ENVELOPE_V1.csv,e852de89bca633c126b0547257649c69b7a62e658e19dbe726eca4c38cb900a6,,,,,,,,
CDR_BC_AUTHORITY,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/02_wp1_loads/BOUNDARY_CONDITION_AUTHORITY.json,4d936f4278c728243a088703e84bd421149a95780658755d05ed7cea13121de4,,,,,,,,
M5_JOINT_MODEL,20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/04_joint_load_model/M5_ANALYTIC_JOINT_LOAD_MODEL_V1.yaml,f4e9eb51b696b7fe02878b9c369bdcb99d84fe96181494ca33798400631a199d,,,,,,,,
M5_INFLUENCE,20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/04_joint_load_model/M5_FASTENER_GROUP_INFLUENCE_MATRIX_V1.csv,8ded698118daf85480b44d95518984f8ef8df02993ba493a6a0402aa85a53574,,,,,,,,
M6_UNIT_LOAD,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp5_structural_entry/FASTENER_GROUP_ANALYTIC_UNIT_LOAD_V1.csv,ceb2b7b4111ee8fe1210d4b7c08d0324a8cfea272174f32ff21c8b1a089e7805,,,,,,,,
M6_UNIT_NOTE,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp5_structural_entry/FASTENER_GROUP_ANALYTIC_NOTE_V1.yaml,a1fb4c7842191eecdafd1cb0ed5ef306950fe0cee533534cf065f5201738e4c5,,,,,,,,
M6_MATERIAL_LIB,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp4_materials/PROTOTYPE_MATERIAL_LIBRARY_V2.yaml,53dd6e9139675d49d1295e20c05832ba3618325e4f0ba6e47ea8ff9361716f50,,,,,,,,
M6_BOM_V2,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp6_drawings_bom/DIGITAL_PROTOTYPE_BOM_V2_CANDIDATE.csv,2fa3d479fb25295df39c023d2204b2a75d351d81b162780908ccc700d097d544,,,,,,,,
REV_C_INTERFACE,20_engineering/F3R2_MECHANICAL_DETAILED_DESIGN_V1/02_interfaces/B601_BASE_ADAPTER_REV_C_INTERFACE.yaml,d63b867b3183434c054a8840735a2cdd9c5106d430cc76e44b0c840a11a522e9,,,,,,,,
M3R_PHYSICAL_STACK,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_TSM_PHYSICAL_STACK.yaml,172f3603e458f670323925e644bc68623ee9c85fca7af1200fae2576eb43c68b,,,,,,,,
M4_STACKUP,20_engineering/F3R2_MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_V1/05_tolerance/INTERFACE_STACKUP_B601_M3R_V1.yaml,a5f95a9b11acbf04e6abeb2e850f5e18ad7cf8caf18d70619df7d04a1b09da41,,,,,,,,
URDF_B601,20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf,1bc2b7483cd8025d08ba6eadfd9e1f3b0477121714e7cf4ddc1794d9e471c164,,,,,,,,
SCENE_A1,20_engineering/config/coupled_scene/scene_A1_arm_slew.yaml,6e3b53f126f03644ec19f26a4b74911c737e6666dbc89b41a2d0c9d1694c7d3b,,,,,,,,
