measurement_id,component,quantity,frame_or_datum,nominal_candidate,unit,measured_value,measurement_uncertainty,document_status,physical_status,method_and_direction,source_id,next_use
M26,POWER_ADAPTER_CABLE,外部电源转接线规格,外部24V供电组件,XT30U母至XT60公;16AWG;300mm,AWG_and_mm,null,null,VENDOR_BOM_FOUND_SCOPE_EXTERNAL_POWER_ONLY,MEASUREMENT_REQUIRED,核对所选电源线；禁止将16AWG转授给电机2+2活动线束,VENDOR_BOM_LINE178,电源包络参考
M27,GRIPPER_AND_FT,实测夹爪行程/法兰/厚度/质量,腕部与TCP,null,mm_kg,null,null,VENDOR_CURRENT_URDF_FOUND_PHYSICAL_INTERFACE_UNCONFIRMED,MEASUREMENT_REQUIRED,夹爪全行程实测；实选F/T两侧孔/轴向堆叠与线缆图,VENDOR_CURRENT_URDF,派生腕链与收拢重查
M28,CAMERA,安装基准/视场/标定空间,相机与腕部frame,null,mm_deg,null,null,VENDOR_CAMERA_MOUNT_STEP_NAMES_FOUND,MEASUREMENT_REQUIRED,实选相机图/靶标标定；源相机支架不等于已选接口,VENDOR_BOM_CAMERA,并行末端工作
M29,GEOMETRY_REGISTRATION,BRep/STL/实物刚体变换与实体差异,根部承载面孔轴定位关节轴,frame数值误差2.220446049250313e-16不作装配误差,mm_deg,null,null,VENDOR_SOURCE_REVISION_DIFF_REQUIRES_REGISTRATION,MEASUREMENT_REQUIRED,局部特征配准与逐孔残差；不匹配登记GEOMETRY_VARIANT,WP01_T+VENDOR_COMMIT,实配孔系/源版本绑定
M30,GROUND_FIXTURE,独立托持能力/支点/卸载力/方向,实验室系与S变换,null,N_m,null,null,TEST_FACILITY_INPUT_REQUIRED,MEASUREMENT_REQUIRED,工装证据和空载配重校核；不依赖未验证新支承/null关节制动,null,真实台架进入条件
M31,GROUND_TEST,重力方向/动作速度/停止距离,实验室到S变换,9.80665仅标准重力参考,m_per_s2_mm_s,null,null,TEST_CASE_INPUT_REQUIRED,MEASUREMENT_REQUIRED,姿态测量并指定受控动作/停止工况；不能推测1g方向,null,GROUND_1G
M32,OPERATIONAL_TASK,六分量臂根反力及时间历程,S系A0点;arm对root_bridge,null,N_Nm_s,null,null,TASK_WRENCH_REQUIRED,MEASUREMENT_REQUIRED,由指定任务/接触/惯性/执行器模型或台架力矩测量获得,null,OPERATIONAL_6_COMPONENT
M33,TRANSPORT_OR_LAUNCH,载荷谱/接口/保持状态/时长,指定运输或发射接口,null,spectrum,null,null,NOT_DEFINED,MEASUREMENT_REQUIRED,实际任务运输要求输入；不填惯用加速度,null,TRANSPORT_TBD
M34,STATION_A_UPPER_LINK3,上垫实际接触表面/法向/可达性,S.x=-115与link3局部frame,名义CAD采样相切候选；上垫+Z12mm撤离,mm_and_direction,null,null,NOMINAL_LINK3_REGISTRATION_NOT_PHYSICAL,MEASUREMENT_REQUIRED,标记实际link3上接触区域并测表面和与下link2的相对位置；不可借用下垫注册,design_parameters.json:gse.upper_pad_contact_link,上垫A真实对偶
M35,STATION_A_UPPER_LINK3,上垫材料/壁厚/内部传力/允许压力,实际A上接触区域,null,mm_Pa_N_per_m,null,null,INTERNAL_LOAD_PATH_NOT_CONFIRMED,MEASUREMENT_REQUIRED,厂家剖面或实物可见结构确认；量测柔度前指定无损试验载荷；不得将装饰壳当承力壳,null,A站上垫反力与预紧
M36,STATION_B_UPPER_LINK3,上垫实际接触表面/法向/可达性,S.x=-40与link3局部frame,名义CAD采样相切候选；上垫+Z12mm撤离,mm_and_direction,null,null,NOMINAL_LINK3_REGISTRATION_NOT_PHYSICAL,MEASUREMENT_REQUIRED,独立测B站上表面及对偶；不可复制A站或下link2注册,design_parameters.json:gse.upper_pad_contact_link,上垫B真实对偶
M37,STATION_B_UPPER_LINK3,上垫材料/壁厚/内部传力/允许压力,实际B上接触区域,null,mm_Pa_N_per_m,null,null,INTERNAL_LOAD_PATH_NOT_CONFIRMED,MEASUREMENT_REQUIRED,独立核对B处内部支承和允许受压方向；根据厂家依据定义受控试验而非均分反力,null,B站上垫反力与预紧
