"id","scope","priority","work_package","current_evidence","required_inputs","deliverables","acceptance","dependencies","suggested_owner","source_ids","status"
"G11","地面样机","P1","地面散热安装与温升","热路存在候选但安装位姿曾拒绝；STOP1.483W不含Q101；B2空间83.2–86.9°C是条件反解。","地面环境温度、空气流动、真实占空比及发热、TIM压紧/接触面积和可安装散热件。","设计准备A：地面热源/热路CAD与BOM、测温点、传感器检查及预估温升；热验收B：G15上电后逐级实测稳态/瞬态温升。","A须先冻结环境/功率/测温位置、器件温限与停机阈值并证明热路可装；B在G15受限上电后完成。全负载前按分级数据复核，最终最坏工况温度满足各器件限值及声明裕度。","G02;G08;G09;G10","热控/机械/电气","S13;S14;S15;S18","OPEN"
"G12","地面样机","P1","推进在地面样机中的代表方式","8候选贸易研究已有，真实选型/安装ICD未冻结。","owner确定本轮验证目的：仅装配/惯性、控制接口或专门推进试验。","建议先定义无推进剂质量/接口模拟器：尺寸、质量/COM、安装点、供电与命令应答；真实推进器另立试验包。","模拟器与真实系统身份分明；其质量/接口假设可追溯，不能声称真实推力、消旋能力或压力鉴定。","G01;G03;G08","总体/推进/电控","S16;S11","OPEN"
"G13","地面功能扩展","P2","具身智能最小硬件链","OBC为系统边界符号；现有机械电源闭环不足以证明感知—计算—安全—驱动硬件链完成。","具体演示目标、可用计算机/相机/力觉/编码器、帧率精度、处理时延与总线需求。","最小算力/感知/通信BOM、标定与时间同步、命令/状态接口和独立停止链。","真实感知与控制日志可回放；失联/陈旧数据/越限触发已验证停止；该项不阻塞无动作的基础板级上电。","G02;G06;G08;G09","具身智能/嵌入式/电控","S09;S19;S10","OPEN"
"G14","地面样机","P1","唯一采购与库存BOM","机械、三板、线束、热件、商业模块分账，249位号含非采购边界符号，497实例不等于497采购品种。","G01唯一身份、已选标准件与定制件、手头库存/预算/供应商资料。","按装配层级的Master BOM、制造/采购分类、数量单位、厂家/MPN/图号、替代与库存、交期来源。","所有装配实例映射到BOM；相同物料可汇总且不重复计量；无空型号采购行，长周期风险明确；价格库存按实际询价核实。","G03;G04;G06;G07;G10;G11;G12","配置管理/采购/各专业","S02;S09;S12;S11","OPEN"
"G15","地面样机","P2","分级装配与上电验收","现存数字/规则检查不能证明硬件已经可上电；V35明确power_on_release=false、hardware_tests=0。","各级所需设计资料和实物准备；电气/热控负责人共同冻结电压、电流、温度、超时、动作范围及停机数值；不要求首次上电前完成只有上电后才能获得的热实测。","一级无源装配/导通极性；二级分板限能上电；三级代表负载及停止/失联/回生测试；四级受控低速动作；五级声明最坏地面工况与热验收","每级有明确输入和独立接受记录：初次上电需G09/G10/G11设计准备通过，初次动作需停止/失联/陈旧命令/越限检查通过；温升实测与G11-B在本流程内闭合，不互设完成前置。","G04;G05;G06;G07;G08;G09:design_ready;G10:design_ready;G11:design_ready;G12;G14","系统集成/试验/独立审阅","S05;S06;S11","OPEN"
"F01","飞行后续","P2","轨道寿命与部署构型","参考任务orbit_elements/sun_earth_attitude_history为空；开放停放不是发射收拢。","轨道、寿命、姿态、目标任务、部署器/发射接口与载荷。","任务需求基线、真实收拢/释放/安全姿态、空间环境与载荷条件。","尺寸/质量/接口/展开过程与所选部署器及任务条件一致。","G01","总体/轨道/机械","S10;S01","DEFERRED_FLIGHT_SCOPE"
"F02","飞行后续","P2","在轨储供电与全轨能源","地面外部电源不能支撑在轨结论；太阳阵列到充电/电池及任务能源周期未闭合。","BOL/EOL阵列输出、电池容量/温度/衰减、充电和峰值限制、轨道负载谱。","同轨道姿态的功率/能量平衡、充电互锁、EPS/电池实选与热接口。","最坏光照/地影/动作周期内SOC、电压电流与温度均满足声明界限。","F01;G02;G08","能源/热控","S10;S11;S12","DEFERRED_FLIGHT_SCOPE"
"F03","飞行后续","P2","辐射散热与冷热轨道热平衡","已有辐射面网格/遮挡及稳态筛查；B2上界86.92°C跨85°C裕度目标；非整星瞬态闭环。","轨道姿态、真实发热、BOL/EOL光学性能、接触热阻、视因子、MLI/加热/热传感器参数。","热控BOM、B2或替代方案实装、冷热轨道瞬态热模型及相关试验。","所有器件工作/生存冷热限和裕度满足；含未分配热、Q101、真实接口；模型经试验相关。","F01;F02;G03;G11","热控/机械","S14;S15;S18;S20","DEFERRED_FLIGHT_SCOPE"
"F04","飞行后续","P2","空间辐射与真空材料适应","未找到当前构型完整TID/SEE及器件级抗辐射闭环；热辐射设计不能替代。","轨道寿命/屏蔽分布、器件批次与TID/SEE资料、真空放气/润滑/材料性能。","环境与剂量/单粒子风险账、器件降额/容错/保护、屏蔽与材料工艺清单。","按任务环境与寿命逐器件评估并验证，保留不可接受风险；地面功能通过不转成空间适用。","F01;G07;G14","可靠性/辐射/材料","S10;S09;W02","DEFERRED_FLIGHT_SCOPE"
"F05","飞行后续","P2","真实推进系统定型","selection_frozen/mission_budget_closed/hardware_qualification=false；9项跨候选缺项。","任务冲量/精度/最小脉冲、受控模块ICD、喷口/阀/储箱/管路/压力/热/功率数据。","候选取舍与冻结、储箱/阀/管路/推力器采购BOM、安装与压力/泄漏/推力验证。","所选完整系统满足任务而非只过推力窗；9项按所选候选适用性处置；压力与羽流等测试单独受控。","F01;F02;F03;F06","推进/总体","S16;S11","DEFERRED_FLIGHT_SCOPE"
"F06","飞行后续","P2","姿控与捕获后推力分配","目录接口/资源筛查存在；真实轮组轴系与喷口分配、捕获后COM/惯量等未闭合。","当前构型惯性、轮组力矩/动量/功率、传感器性能、喷口矢量/MIB/并发及禁喷区域。","ADCS实选与安装/视场、推力分配与卸载、捕获前后姿态控制预算。","在真实限幅/时延/功率/热/羽流约束下验证声明任务，合成阵列不得替代厂家实物。","F01;G02;G03","姿控/推进/感知","S11;S16;W03","DEFERRED_FLIGHT_SCOPE"
"F07","飞行后续","P2","飞行环境与整星鉴定","地面样机验收仅证明地面声明范围；尚无同版本全星飞行鉴定。","发射/在轨环境、最终飞行BOM与配置、试验等级与接受标准。","强度/模态/振动/冲击/TVAC/EMC/寿命与失效处置，飞行配置对账。","所有规定验证证据对应同一飞行配置；不以旧模型PASS或局部DRC代替。","F01;F02;F03;F04;F05;F06;G15","总体/各专业/试验","S01;S05;S11","DEFERRED_FLIGHT_SCOPE"
