asset,current_path,classification,target_root,action,risk,evidence_ref
"FreeCAD authoritative CAD C1-A (36 files, TRACKED_IN_GIT)","ROOT_A\20_engineering\cad\freecad_authoritative",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-F FREECAD_LINEAGE_NOTES §1.1; ASSET_AUTHORITY_MATRIX C1_A"
"HAGA_HIFI_FREECAD visual donor C1-B (21 files)","ROOT_A\20_engineering\cad\reference_donors\HAGA_HIFI_FREECAD",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-F CAD_DONOR_REGISTER CAD-D08; donor, NOT_CURRENT_TOP"
"Accepted B601 URDF + mass ledger + gripper meshes (10 STL git-untracked)","ROOT_A\20_engineering\cad\spacecraft_layout\arm_b601_v1",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,MED,"PL1-B ruling; sha raw 1bc2b748 / LF 408147dd re-verified; meshes ~27 MB untracked pending LFS decision"
"v0 spacecraft layout assets (block models, low confidence)","ROOT_A\20_engineering\cad\spacecraft_layout\*_v0",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-B lineage gen table row CAD v0; still feeds rigid sims"
"Geometry/model SSOT configs","ROOT_A\20_engineering\config",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-C SIMULATION_TRUTH_HIERARCHY Tier 1"
"Stage-1 spacecraft layout package","ROOT_A\20_engineering\stage1_spacecraft_layout",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-A discovery"
"System design notes","ROOT_A\20_engineering\system_design",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-A discovery"
"Structure/system definitions (ASSEMBLY_*, BOM_12U, INTERFACE_ARM_BUS, MASS_BUDGET...)","ROOT_A\structure",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-G ls 2026-08-08"
"Simulation mainline (common + sim_01..12 + control_01/02 + safety_00 + e15/e16 + asm_00)","ROOT_A\30_simulation",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,MED,"PL1-C DYNAMICS_SIMULATION_ASSET_REGISTER (50 assets); HOLD: sim_05 b601_model.py URDF path broken at HEAD"
"In-repo evidence layer (Wave3 110 items + c1_evidence)","ROOT_A\40_evidence",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-A discovery row; historical evidence, tracked"
"Literature system (references + reading cards + pdf)","ROOT_A\50_literature",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-E LIT-SYSTEM row; PAPER_KNOWLEDGE_STATE_BUILT"
"Project tooling (visualization, dashboard)","ROOT_A\70_tools",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-G ls 2026-08-08"
"Third-party root (external + vendor)","ROOT_A\80_third_party",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-A discovery"
"reBot-DevArm vendor tree (177 files, gitignored disk dependency)","ROOT_A\80_third_party\vendor\reBot-DevArm",ROOT_A_ACTIVE_PROJECT,ROOT_A,plan (backup/cold-copy decision - DR P0),HIGH,"PL1-A row 8 + PL1-F CAD-D13: no backup; geometry SSOT references it repo-relative"
"Vendor duplicate clones EXUDYN/SPART/SpaceDyn/space_robotics_bench/astrobee (same commits as ROOT B)","ROOT_A\80_third_party\vendor\*",ROOT_A_ACTIVE_PROJECT,ROOT_A,plan (dedupe decision: keep one copy per PL1-D; needs human ruling),LOW,"PL1-D REFERENCE_TO_PROJECT_MAPPING exact-duplicate rows"
"Vendor basilisk @6b9c222f (divergent vs ROOT B recorded 27eb48a2)","ROOT_A\80_third_party\vendor\basilisk",ROOT_A_ACTIVE_PROJECT,ROOT_A,plan (HOLD-2: pick reference of record; human ruling),MED,"PL1-D HOLD-2"
"Vendor chrono @24c78cf8 (only real clone; ROOT B clone empty)","ROOT_A\80_third_party\vendor\chrono",ROOT_A_ACTIVE_PROJECT,ROOT_A,plan (HOLD-3: inverted duplication; human ruling),MED,"PL1-D HOLD-3"
"Vendor openpi/openvla (VLA lane references, gitignored)","ROOT_A\80_third_party\vendor\{openpi,openvla}",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-D REFERENCE_TO_PROJECT_MAPPING rows 28-29"
"Knowledge notes (2 files with STALE retired-path citations)","ROOT_A\knowledge",ROOT_A_ACTIVE_PROJECT,ROOT_A,"plan (doc-hygiene fix, Stage 1, REQUIRES HUMAN APPROVAL)",LOW,"PL1-D REFERENCE_LIBRARY_START_HERE §6 doc hygiene"
"B5.1R1 phase-1 start package (+ zip)","ROOT_A\B51R1_PHASE1_START_PACKAGE",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-A discovery row 10"
"Entry docs (PROJECT_START_HERE / PROJECT_MAP / CLAUDE.md / onboarding packages)","ROOT_A top level",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-G updated PROJECT_START_HERE 2026-08-08"
"Stray junk entries ('' empty dir; grep.exe.stackdump)","ROOT_A top level",ROOT_A_ACTIVE_PROJECT,ROOT_A,"plan (housekeeping deletion, REQUIRES HUMAN APPROVAL)",LOW,"PL1-G ls 2026-08-08; PL1-B NC-6"
"ROOT B reference library (logical SPACE_ROBOTICS_OPEN_SOURCE_SIM_REFERENCE_LIBRARY)","F:\SPACE_ROBOTICS_REFERENCE_LIBRARY",ROOT_B_REFERENCE_LIBRARY,ROOT_B,none,LOW,"17,527 physical files = 17,523 imported artifacts + 4 root indexes; 3,745,466,618 B verified"
"R1 papers/standards (10 NASA NTRS + 7 ESA CSD2026 + 4 arXiv + tool docs + 4 reading notes)","ROOT_B\REFLIB2_01_nasa_mechanical; REFLIB2_02_esa_isam_2026; REFLIB2_03_space_dynamics\{papers,docs}; REFLIB2_07_reading_notes",ROOT_B_REFERENCE_LIBRARY,ROOT_B,none (index overlay only),LOW,"PL1-D REFERENCE_LIBRARY_ARCHITECTURE §2"
"R2 open-source projects (astrobee, isaac, int-ball2 x2, space-ros, space_robotics_bench, spaceros_demos)","ROOT_B\REFLIB2_04_robotics_software\...\repos; REFLIB1_space_robotics_bench; REFLIB1_spaceros_demos",ROOT_B_REFERENCE_LIBRARY,ROOT_B,none (index overlay only),LOW,"PL1-D OPEN_SOURCE_PROJECT_REGISTER"
"R3 dynamics/simulation library (physical ROOT B + external-to-B Chrono/SpaceRobotEnv/zero-arm MuJoCo pointers)","ROOT_B\REFLIB1_* ; REFLIB2_03\repos\basilisk ; REFLIB2_06\repos\ANCF_beam ; installed root registers",ROOT_B_REFERENCE_LIBRARY,ROOT_B,none (index overlay only),MED,"PL1-C register: physical implementations remain reference-only; external pointers have runtime_dependency=0"
"R3 chrono (ROOT B clone FAILED, empty; usable ROOT A checkout BSD-3-Clause verified)","ROOT_A\80_third_party\vendor\chrono @24c78cf8",ROOT_B_REFERENCE_LIBRARY,ROOT_B,plan (HOLD-3 location/index resolution),MED,"PL1-D register row chrono; no longer a license HOLD"
"R4 CAD donor reference (oresat_structure, CERN-OHL-S-v2)","ROOT_B\REFLIB1_oresat_structure",ROOT_B_REFERENCE_LIBRARY,ROOT_B,none,LOW,"PL1-D license refinement (was UNKNOWN_LICENSE)"
"R5 datasets (speedplusbaseline CODE only; dataset never downloaded)","ROOT_B\REFLIB2_05_perception_datasets",ROOT_B_REFERENCE_LIBRARY,ROOT_B,none,LOW,"PL1-D register"
"R6 tool examples (freecad.robotcad, FreeCAD_Assembly4.1, ingestion tools)","ROOT_B\REFLIB2_04\...\repos\{freecad.robotcad,FreeCAD_Assembly4.1}; REFLIB1__tools; REFLIB2_00_manifest\tools",ROOT_B_REFERENCE_LIBRARY,ROOT_B,none,MED,"PL1-D: robotcad = highest-risk environmental hazard; ingestion toolset license-UNKNOWN HOLD"
"R7 CAE reference (EXTERNAL affiliate, not inside ROOT B)","F:\Mechanical structure modeling and simulation",NON_SEI,NON_SEI (stays external as NON_SEI_GENERAL_CAE_LIBRARY),none,LOW,"PL1-F CAE_PROJECT_RELEVANCE_REGISTER (26 index_only / 2 exclude / 2 copy_to_B)"
"CAE lib optional copy: arm-joint transient FEA geometry (.x_t, 8.5 MB)","F:\Mechanical structure modeling and simulation\机械手关节瞬态动力学评估.x_t",ROOT_B_REFERENCE_LIBRARY,ROOT_B,plan (optional copy to R4; license-unknown - human review first),LOW,"PL1-F CAD-D11"
"CAE lib optional copy: gripper STEP pair (3.3 MB)","F:\Mechanical structure modeling and simulation\机械臂夹爪model.zip",ROOT_B_REFERENCE_LIBRARY,ROOT_B,plan (optional copy to R4; license-unknown - human review first),LOW,"PL1-F CAD-D10"
"CAE lib remaining index_only items (26) + exclude items (2)","F:\Mechanical structure modeling and simulation\(rest)",NON_SEI,NON_SEI,none,LOW,"PL1-F CAE_PROJECT_RELEVANCE_REGISTER"
"ROOT B governance/index layer (manifests, hash manifest, crosswalk, adversarial reviews, TOP-12/20, REFERENCE_INDEX.json)","ROOT_B\REFLIB2_00_manifest; REFLIB2_08_project_crosswalk; REFLIB2_09_adversarial_reviews; REFLIB2_*.md dirs; REFLIB1__root_",ROOT_B_REFERENCE_LIBRARY,ROOT_B,none,LOW,"PL1-D architecture §2 governance layer"
"ROOT B entry doc + SSOT registers (START_HERE, OPEN_SOURCE_PROJECT_REGISTER, DYNAMICS_SIMULATION_LIBRARY_INDEX, CAD_DONOR_REGISTER)","ROOT_B root",ROOT_B_REFERENCE_LIBRARY,ROOT_B,"copy (DONE 2026-08-08 by PL1-G from PL1-C/D/F outputs)",LOW,"PL1-G Task 3.6"
"SEI_PROJECT_ARCHIVE (514 files: GIT_LINEAGE/RECOVERY/MIGRATION/DESIGN_LINEAGE/INTEGRATION/CM34 + W4 manifest)","F:\SEI_PROJECT_ARCHIVE",ARCHIVE_BOUND_TO_A,ARCHIVE (bound to ROOT A),current stable archive (phase 0 pointer active; phase 1 dependency audit; phase 2 optional physical migration),LOW,"PL1-A discovery; CM3A 6/6 copy manifest; PL1-G ARCHIVE_INTO_ROOT_A_MIGRATION_PLAN"
"CM SSOT set (PROJECT_LIBRARY_INDEX / CANONICAL_ROOT_REGISTER / ASSET_AUTHORITY_MATRIX / STORAGE_ARCHITECTURE / HEALTH_CHECK)","F:\SEI_PROJECT_ARCHIVE\CONFIGURATION_MANAGEMENT\20260807_CONSOLIDATION",ARCHIVE_BOUND_TO_A,ARCHIVE (bound to ROOT A),current (PL1 pins corrected; stable/mirror hash-synchronized),MED,"PL1-A C1/C2/C3 resolved; structural health PASS and aggregate FAIL 1 only because PRIMARY_CLEAN is dirty"
"GHMIG skeleton (339 files / 6.9 MB, 0 .git remain)","F:\Space_Embodied_Robot_GITHUB_MIGRATION",RETIREMENT_CANDIDATE,RETIREMENT_CANDIDATE,retire_candidate (final root deletion needs human authorization; CM3-C receipt closed .git retirement),LOW,"PL1-A C6; GHMIG_FINAL_RETIREMENT_RECEIPT.md"
"Governance temp area root (22,035 files / 22 GB)","F:\_SEI_PROJECT_CONSOLIDATION_20260807",RETIREMENT_CANDIDATE,RETIREMENT_CANDIDATE,retire_candidate (BLOCKED: only after Stage 1-3 + remaining unique content disposition + human authorization),HIGH,"PL1-A C5/C8; PL1-G TWO_ROOT_EXECUTION_PLAN Stage 4"
"WT native-CAD lineage (V0_1..V2_3, B5_0..B5_1R1; 3,432 files / 4.0 GB)","F:\_SEI_PROJECT_CONSOLIDATION_20260807\12_WAVE4\WORKTREE_RECONCILIATION\20_engineering\cad",ROOT_A_ACTIVE_PROJECT,ROOT_A,plan (salvage deferred: >5 GB with F3R1/F3R2; own CM wave w/ hash re-verification BEFORE any WT retirement),HIGH,"PL1-G SALVAGE §3; PL1-B HOLD-R2"
"WT stage3_p1_p2_p3_closure (880 files / 91 MB)","...\WORKTREE_RECONCILIATION\10_research\stage3_p1_p2_p3_closure",ARCHIVE_BOUND_TO_A,ARCHIVE (bound to ROOT A),"plan (phase-1 uniqueness audit vs SEI_PROJECT_ARCHIVE, then disposition)",MED,"PL1-G SALVAGE §3"
"WT accepted_urdf CM-canonical copy","...\WORKTREE_RECONCILIATION\20_engineering\cad\B5_1R1_...\accepted_urdf\arm_b601_v1.urdf",RETIREMENT_CANDIDATE,RETIREMENT_CANDIDATE,none (byte-identical to ROOT A authority - zero unique info; sha re-verified 2026-08-08),LOW,"PL1-G hash check; PL1-A C4"
"WT older snapshots of current ROOT A trees (config/stage1/system_design/01_project/30_simulation/40_evidence/etc.)","...\WORKTREE_RECONCILIATION\(mirrored dirs)",RETIREMENT_CANDIDATE,RETIREMENT_CANDIDATE,plan (phase-1 diff audit; old versions largely recoverable from ROOT A git history),MED,"PL1-G diff spot-check 2026-08-08"
"WT 12_WAVE4\ARCHIVE (477 files; candidate superseded by stable SEI_PROJECT_ARCHIVE 514)","F:\_SEI_PROJECT_CONSOLIDATION_20260807\12_WAVE4\ARCHIVE",RETIREMENT_CANDIDATE,RETIREMENT_CANDIDATE,plan (prove semantic superset before retiring with parent),MED,"PL1-A C8; stable archive was 508 before CM3A and is now 514"
"13_CM_CLOSURE (health-check byte-identical copy of archive version)","F:\_SEI_PROJECT_CONSOLIDATION_20260807\13_CM_CLOSURE",RETIREMENT_CANDIDATE,RETIREMENT_CANDIDATE,plan (re-point START_HERE §11 to archive copy first),LOW,"PL1-A row 17"
"15_CM3 (gripper identity ruling ACTUAL home; archive CM3 holds receipts only)","F:\_SEI_PROJECT_CONSOLIDATION_20260807\15_CM3",ARCHIVE_BOUND_TO_A,ARCHIVE (bound to ROOT A),plan (copy ruling into archive CM3 dir before retirement; REQUIRES HUMAN APPROVAL),MED,"PL1-A C7"
"Robotic arm root (HPRA + zero-robotic-arm + zip; 3,575 files)","F:\Robotic arm",RETIREMENT_CANDIDATE,RETIREMENT_CANDIDATE,plan (HOLD - NOT retirement_ready; Stage 1-2 witness capture + human disposition first),HIGH,"PL1-F ROBOTIC_ARM_RETIREMENT_PLAN verdict"
"HPRA unique witnesses (local git history 2 commits no-remote; memory/env notes; sim README)","F:\Robotic arm\High_performance_robotics_arm",ARCHIVE_BOUND_TO_A,ARCHIVE (bound to ROOT A),plan (Stage 1: git bundle + file capture to SEI_PROJECT_ARCHIVE DESIGN_LINEAGE\ROBOTIC_ARM_WITNESS),HIGH,"PL1-F plan §3 (unique unarchived); CAD-D05"
"HPRA URDF variants (fixend 065bc4f8, with_gripper 667a8905)","F:\Robotic arm\High_performance_robotics_arm\urdf\*.urdf",ARCHIVE_BOUND_TO_A,ARCHIVE (bound to ROOT A),plan (Stage 1 witness capture; also index pointer in ROOT B R4 per CAD-D02),MED,"PL1-F CAD-D02"
"zero-robotic-arm working copy + zip (GPL-2.0; clean upstream re-obtainable; 26-entry local CAD/BOM dirty witness)","F:\Robotic arm\zero-robotic-arm(.zip)",NON_SEI,NON_SEI (third-party public),plan (capture full bundle/staged/unstaged/untracked witness; ROOT B metadata DONE; retires with parent after disposition),HIGH,"PL1-F CAD-D06/D07; Deep_LR tracked clean teaching case"
"HPRA vendor reBot-DevArm clone (IDENTICAL to ROOT A vendor copy)","F:\Robotic arm\High_performance_robotics_arm\vendor\reBot-DevArm",RETIREMENT_CANDIDATE,RETIREMENT_CANDIDATE,none (fully duplicated in ROOT A; retires with parent),LOW,"PL1-F CAD-D01 (sha-verified duplicate)"
"reBotArmController_ROS2 clone (67 MB; upstream public; license unverified)","F:\Robotic arm\High_performance_robotics_arm\vendor\reBotArmController_ROS2",NON_SEI,NON_SEI (third-party public),none (ROOT B metadata pointer DONE; license HOLD; retires with parent after witness/authorization),LOW,"PL1-F CAD-D04"
"HPRA external spacecraft_layout_refs (6 upstream groups; fully duplicated in ROOT A)","F:\Robotic arm\High_performance_robotics_arm\external\spacecraft_layout_refs",RETIREMENT_CANDIDATE,RETIREMENT_CANDIDATE,none (ROOT B metadata DONE; no bulk copy; retires with parent after witness/authorization),LOW,"PL1-F CAD-D03; group counts/bytes + 8 repo HEADs match ROOT A"
"ffmpeg shared build (approved runtime dependency of ROOT A)","F:\ffmpeg-master-latest-win64-gpl-shared",EXTERNAL_TOOL,EXTERNAL_TOOL,none (DO_NOT_MOVE),LOW,"PL1-A boundary; PL1-C §3.3 approved exception"
"Conda envs (ddpg-sim, rebot)","F:\condaenvs",EXTERNAL_TOOL,EXTERNAL_TOOL,none (DO_NOT_MOVE),LOW,"PL1-A boundary"
"SolidWorks app data + GreatCraftsman plugin","F:\Soildworks Data; F:\Solidworks_plugin",EXTERNAL_TOOL,EXTERNAL_TOOL,none (tool-side; Toolbox may be needed to open F3R1 SLDASM),LOW,"PL1-A boundary"
"codex-worktrees / kb-worktrees (live git worktrees of ROOT A)","F:\codex-worktrees; F:\kb-worktrees",EXTERNAL_TOOL,EXTERNAL_TOOL,none (DO_NOT_MOVE),LOW,"PL1-A boundary; finding 11"
"Tool caches / agent tooling / app profiles (condapkgs, pip-cache, claude*, codex_skill, matlab_mcp_test, Windows_profile, NVIDIA)","F:\(various)",NON_SEI,NON_SEI,none,LOW,"PL1-A boundary external_tools/excluded"
"CAE-Agent-Hub (standalone CAE-agent software project)","F:\CAE-Agent-Hub",NON_SEI,NON_SEI,none,LOW,"PL1-A excluded"
"spirit_ai_mechanical (non-SEI mechanical data)","F:\spirit_ai_mechanical",NON_SEI,NON_SEI,none,LOW,"PL1-A excluded"
"VLA算法论文 (+zip) (separate VLA-literature project)","F:\VLA算法论文",NON_SEI,NON_SEI,none,LOW,"PL1-A excluded; PL1-E VLA-PAPERS-EXTERNAL"
"Coursework/hobby roots (Undergraduate_project, Project/Pendulum-DDPG [license HOLD], vehicle_2dof_steering, zoo backup)","F:\(various)",NON_SEI,NON_SEI,none,LOW,"PL1-A excluded"
"Personal roots (实习工作文档, 实习证明_聘用, BaiduNetdiskDownload, download, Wechat, WeChat_Backup, 回忆_jinyi, 回忆_jingyi.zip)","F:\(various)",NON_SEI,NON_SEI,none,LOW,"PL1-A excluded"
"OS internals ($RECYCLE.BIN, System Volume Information)","F:\(various)",NON_SEI,NON_SEI,none,LOW,"PL1-A excluded"
"Deleted roots x6 (space_robotics_references, PUBLIC_REFERENCE_20260805, HAG_A_20260804, SEI_STAGE3_RECOVERY_20260801, F4_INTEGRATION_20260806, FREECAD_MIGRATION_20260803)","F:\(absent)",NON_SEI,NON_SEI,none (verified absent; do-not-recreate),LOW,"PL1-A boundary deleted_roots; health check DELETED_* PASS"
