title,authors,year,venue,problem,method,limitation,url,cluster
Large Language Models as Autonomous Spacecraft Operators in Kerbal Space Program,"Victor Rodriguez-Fernandez, Alejandro Carrasco et al.",2025,"Advances in Space Research (IF约2.6, 估计)",LLM能否作为自主航天器操作员执行交会追逐等任务,对比提示工程与微调（GPT-3.5/LLaMA）两种策略，在KSP差分博弈挑战赛环境中以语言输入输出控制航天器,环境为游戏物理而非高保真轨道/多体动力学；LLM输出无物理可行性验证层，任务复杂度提高后性能衰减,https://www.sciencedirect.com/science/article/abs/pii/S0273117725006465,学习型/具身智能空间机器人
Long-term motion prediction and dexterous capturing analysis for tumbling satellites,D. Zhang et al.,2025,Chinese Journal of Aeronautics (IF≈5.3估计),翻滚卫星长期运动预测及最优捕获点/时刻确定,两步ESKF在线估计+长期预测，构造复合评价指标确定最优捕获点与捕获时刻，调整基座位姿使捕获点落入灵巧捕获区,"""灵巧捕获区""是运动学区域（灵巧度），复合指标不含抓取后组合体动量与执行容量；是问题①""捕获区""概念的最新形态但非无量纲动力学可行域",https://www.sciencedirect.com/science/article/pii/S1000936125003723,航天器抓取规划与可行域分析
MPC for momentum counter-balanced and zero-impulse contact with a free-spinning satellite,"T. Karampela et al. (Seshadri, Dörfler, Li)",2025,arXiv:2512.09213 (投AIAA SciTech 2026),如何让服务星与自旋目标实现零冲量接触,非线性MPC协调动量生成模块与操作模块两个执行系统，显式建模二者交叉耦合动力学，可施加此前方法无法处理的执行器与状态约束,目标是把接触冲量'归零'而非为非零冲量建模记账；执行器约束按case可行性处理，无μ参数化的不可行边界证明,https://arxiv.org/abs/2512.09213,捕获冲量与自由漂浮机械臂动力学
Optimal Capture of Spinning Spacecraft via Deep Learning Vision and Guidance,"Alexander Crain, Kirk Hovell, Courtney Savytska & Steve Ulrich",2025,"Journal of Spacecraft and Rockets, 62(5) (IF约1.6, 估计)",旋转目标的自主视觉感知与最优捕获制导一体化,CNN立体视觉估计目标状态+DRL制导生成捕获轨迹的GNC架构，气浮台实验,针对平面自旋目标；深度学习用于感知与制导，捕获决策无动量/执行机构容量层面的物理裁决，无fail-closed机制,https://arc.aiaa.org/doi/10.2514/1.A36277,学习型/具身智能空间机器人
Review of Autonomous Space Robotic Manipulators for On-Orbit Servicing and Active Debris Removal,Nasim Fallahiarezoodar & George Z.H. Zhu,2025,"Space: Science & Technology (IF约4-5, 估计)",系统综述OOS/ADR空间机械臂的捕获前运动规划/视觉估计与捕获后稳定控制方法,按free-floating/free-flying两模式、pre-capture/post-capture两阶段梳理控制策略，覆盖学习型与传统方法,综述指出学习方法多停留在仿真、缺实物验证；对捕获前-后一体化的可行性量化判据未见成熟方案——可作本项目空白论证的权威引文,https://spj.science.org/doi/10.34133/space.0291,学习型/具身智能空间机器人
Safe Obstacle-Free Guidance of Space Manipulators in Debris Removal Missions via Deep Reinforcement Learning,Vincent Lam & Robin Chhabra,2025,arXiv preprint (cs.RO),碎片捕获中机械臂轨迹的安全性：自碰撞、意外接触、奇异构型,TD3+课程式多critic网络（一个critic管跟踪精度、一个管避碰）+优先经验回放，叠加奇异回避与可操作度增强的局部控制，7-DOF KUKA iiwa自由漂浮基座Matlab/Simulink验证,安全性以学习critic软实现，无形式化保证；不涉及捕获冲量与捕获后组合体动力学；纯仿真,https://arxiv.org/abs/2510.06566,学习型/具身智能空间机器人
Trajectory planning of free-floating space robot for non-cooperative tumbling target capture based on deep reinforcement learning,Yaqiang Wei et al.,2025,"Robotica, 43(7) (IF约2.7, 估计)",自由漂浮空间机器人捕获非合作翻滚目标的轨迹规划,TD3算法，奖励函数纳入机械臂运动参数、空间机器人广义可操作度与基座位姿扰动，收敛更快、扰动更小,可操作度与基座扰动作为软奖励项而非硬物理判据；不评估捕获瞬间冲量与捕获后组合体角动量吸收能力；纯仿真,https://www.cambridge.org/core/journals/robotica/article/abs/trajectory-planning-of-freefloating-space-robot-for-noncooperative-tumbling-target-capture-based-on-deep-reinforcement-learning/465B066C4811D176A929F58022B3161B,学习型/具身智能空间机器人
Understanding and Utilizing Dynamic Coupling in Free-Floating Space Manipulators for On-Orbit Servicing,"G. Das et al. (D. Choi, D. Kim)",2025,AAS/AIAA Astrodynamics Specialist Conference 2025 (arXiv:2508.15732),基座-臂动力耦合传统上被抑制，能否量化并反过来利用它,对动力耦合矩阵做SVD，建立耦合强度/方向度量并融入轨迹优化，滑模控制验证,止于轨迹规划层面的耦合利用；不涉及捕获冲量、捕获后稳定与动量管理；无容量约束可行性,https://arxiv.org/abs/2508.15732,捕获后稳定 / 消旋 / 动量管理（post-capture
A Convex Formulation of the Soft-Capture Problem,"I.S. Sow et al. (G. Gutow, H. Choset, Z. Manchester, CMU)",2024,"iSpaRo 2024 (会议, arXiv:2405.00867)",对旋转碎片实现接触时刻近零相对速度的软捕获轨迹是否存在且省燃料,视场约束凸松弛+序贯凸规划避碰，SOCP求解6-DOF最小燃料软捕获轨迹，处理至10°/s翻滚,可行性=单条轨迹凸问题可解性，未聚合成任务级边界；不含机械臂冲量/消旋阶段；纯仿真,https://arxiv.org/abs/2405.00867,航天器抓取规划与可行域分析
Adaptive Robot Detumbling of a Non-Rigid Satellite,"L. Gao et al. (C. Danielson, R. Fierro)",2024,IEEE CDC 2024（会议）,刚度/阻尼/质量惯量全未知的非刚性卫星如何消旋,将非刚性目标建模为未知刚度阻尼的两连杆串联链，双空间拖船(tug)自适应消旋控制,面向双拖船构型而非机械臂捕获；无执行机构容量-可行性关联；柔性建模为集中参数两连杆而非分布参数(如ANCF),https://arxiv.org/abs/2407.17617,捕获后稳定 / 消旋 / 动量管理（post-capture
Adaptive Visual Servoing for On-Orbit Servicing (种子文献验证),Farhad Aghili,2024,arXiv:2409.05295 (cs.RO),捕获翻滚卫星须在视觉部分/完全失效下维持功能，并满足加速度限幅与视线保持等物理约束,ICP图像配准+约束噪声自适应卡尔曼滤波+故障检测恢复逻辑+约束最优路径规划的分层架构，视觉出错时自适应调整滤波参数并切换恢复策略,官方注记与2022年先前论文存在大量文本重叠；实验仅对自由漂浮物体，向真实翻滚卫星的泛化未演示；自适应属估计层而非学习层，无任务级可行性决策,https://arxiv.org/abs/2409.05295,学习型/具身智能空间机器人（RL捕获-消旋、LLM/VLM空
Adaptive satellite attitude control for varying masses using deep reinforcement learning,Wiebke Retagne et al. (DLR),2024,"Frontiers in Robotics and AI (IF约2.9, 估计)",主动碎片移除中捕获前后系统质量剧变（10-1000kg）且不可预知，传统PID失配,堆叠观测+SAC/PPO在Basilisk中训练姿态控制策略，蒙特卡洛对比PID，质量按episode均匀采样,质量仅逐episode变化而非时间步内突变（作者自陈）；初始姿态固定；纯姿态控制不含机械臂-基座耦合与捕获接触动力学,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2024.1402846/full,学习型/具身智能空间机器人
Improving Soft-Capture Phase Success in Space Debris Removal Missions: Leveraging Deep Reinforcement Learning and Tactile Feedback,Bahador Beigomi & Zheng H. Zhu,2024,IEEE CASE 2024（会议）,碎片移除软捕获段接触-摩擦导致传统控制不稳定不精确,全仿真训练的DRL控制策略，将触觉传感反馈并入策略输入，设计专用奖励函数引导捕获接近,未做真实验证，假设在轨可获得触觉数据；评价指标是捕获成功率，不建模捕获冲量传递与捕获后组合体可稳定性,https://arxiv.org/abs/2409.12273,学习型/具身智能空间机器人
LLMSat: A Large Language Model-Based Goal-Oriented Agent for Autonomous Space Exploration,David Maranto,2024,arXiv preprint (cs.RO),深空任务中减少对地面控制依赖，用LLM作为航天器高层控制/推理引擎,系统工程框架构建agentic航天器控制器，LLM作推理引擎，在Kerbal Space Program仿真深空任务场景评估,作者自陈LLM推理规划能力随任务复杂度增长而不可扩展，需提示框架与权限分级缓解；纯游戏级仿真，无真实动力学保真度，无物理约束校验工具,https://arxiv.org/abs/2405.01392,学习型/具身智能空间机器人
Redundant Space Manipulator Autonomous Guidance for In-Orbit Servicing via Deep Reinforcement Learning,"Matteo D'Ambrosio et al. (D'Ambrosio, Capra, Brandonisio, Silvestrini, Lavagna)",2024,"Aerospace 11(5):341 (MDPI, IF≈2.1)",7-DoF冗余空间机械臂在与目标运动同步阶段的自主制导路径规划,PPO输出期望关节角速率，接反馈线性化控制器；使末端相对目标捕获点保持静止,仅运动同步段，不含接触、冲量与捕获后稳定；无任何任务级可行性判据；仿真验证,https://doi.org/10.3390/aerospace11050341,学习型/具身智能空间机器人（RL捕获-消旋、LLM/VLM空
Risk Index for the Optimal Ranking of Active Debris Removal Targets,"S. Servadio et al. (R. Linares团队, MIT)",2024,"Journal of Spacecraft and Rockets (IF~1.6, 估计), Vol.61(2), pp.407-420",如何量化每个碎片对空间环境的危险度以优化ADR目标排序,风险指数=邻近高密度区域程度×轨道持久性×碰撞可能性×可产生碎片数/质量的组合指标,最新的目标排序方法学仍不含任何捕获可行性维度(可抓性、消旋代价、服务星容量)——与本项目可行域正交互补,https://arc.aiaa.org/doi/10.2514/1.A35752,非合作在轨服务任务与制导
Seamless Capture and Stabilization of Spinning Satellites By Space Robots with Spinning Base,F. Aghili,2024,arXiv:2402.01959 (预印本),快速自旋目标的捕获与稳定一体化,服务星整星自旋匹配目标转速（旋转系中目标视为静止）→解锁关节捕获→锁定关节+负力矩阻尼消旋，三阶段无缝衔接,"明确指出可行性受反作用轮力矩上限与末端最大力矩约束——是""执行容量决定捕获可行性""的最直接表述，但只做单例分析未生成(μ,ω,容量)可行域地图；与本项目""速度匹配同步捕获216例全无SAFE""的量化不可行结论形成直接对话点",https://arxiv.org/abs/2402.01959,航天器抓取规划与可行域分析
Capture and detumbling control for active debris removal by a dual-arm space robot,"D. Han et al. (G. Dong, P. Huang, 西工大)",2022,"Chinese Journal of Aeronautics, 35(9):342-353 (IF≈5.3估计, DOI:10.1016/j.cja.2021.10.008)",无专用抓捕点、参数未知的翻滚碎片的捕获与消旋一体化,柔顺夹持控制（无需力反馈）完成捕获+自适应反步预设轨迹跟踪完成消旋，Hamilton变分建模，燃料省24.11%,"控制方法验证""可行性""仅指仿真闭环收敛，非参数化任务可行域；抓捕点由夹持策略给定而非可稳定性优选",https://www.sciopen.com/article/10.1016/j.cja.2021.10.008,航天器抓取规划与可行域分析
Configuration Optimization for Free-Floating Space Robot Capturing Tumbling Target,L. Zhang et al.,2022,"Aerospace (MDPI), 9(2):69 (IF≈2.1估计, DOI:10.3390/aerospace9020069)",自由漂浮空间机器人捕获翻滚目标时接触力过大,"提出""综合等效质量""标量概念+适用于非中心碰撞的连续接触模型，零空间构型优化最小化最大接触力",等效质量是标量化抽象，佐证文献普遍用标量简化处理捕获冲击（对照本项目六维Steiner+r×mv耦合冲量模型量化标量式低估2.9-12.3%）；只优化接触力不看抓取后可稳定性,https://www.mdpi.com/2226-4310/9/2/69,航天器抓取规划与可行域分析
Laboratory Experimentation of Spacecraft Robotic Capture Using Deep-Reinforcement-Learning-Based Guidance,Kirk Hovell & Steve Ulrich,2022,"Journal of Guidance, Control, and Dynamics (IF约2.3, 估计)",DRL制导策略能否从仿真迁移到真实航天器近距捕获操作,学习到的制导策略输出速度指令交给常规控制器跟踪（制导-控制解耦降低学习负担），平面气浮台位姿跟踪与对接实验验证sim-to-real,平面3-DOF气浮台，无三维翻滚与接触动力学；DRL只做制导层，捕获可行性与捕获后稳定性不在学习范围内,https://arc.aiaa.org/doi/abs/10.2514/1.G006656,学习型/具身智能空间机器人
Optimal configuration for dual-arm space robot grasping a tumbling target based on task compatibility,"R. Xu et al. (J. Luo, M. Wang, 西工大)",2022,"Multibody System Dynamics (IF≈2.6估计, DOI:10.1007/s11044-022-09835-y)",双臂抓捕翻滚目标时选择何种抓取构型能实现目标快速稳定,基于力/速度任务相容度指标（含相机视角与末端速度跟踪约束）选择最优抓捕构型，面向消旋任务,这是问题②的最近先例但仍是运动静力学代理：相容度椭球衡量力/速度传递方向性，不是抓取后组合体角动量-执行容量可稳定裕度；无fail-closed机制、无冲量模型,https://link.springer.com/article/10.1007/s11044-022-09835-y,航天器抓取规划与可行域分析
Optimal detumbling strategy for a non-cooperative target with unknown inertial parameters using a space manipulator,B. Dou et al. (岳晓奎组),2022,Advances in Space Research（IF约2.6，估计）,未知惯量翻滚目标的参数辨识与最优消旋一体化,区间激励(IE)条件下的有限时间惯量估计（放松持续激励PE要求）+最优消旋策略,关注辨识收敛与消旋最优性，未建立执行机构容量-角速度预算-质量比联合可行域；无捕获环节耦合,https://doi.org/10.1016/j.asr.2022.03.017,捕获后稳定 / 消旋 / 动量管理（post-capture
Variable-Horizon Guidance for Autonomous Rendezvous and Docking to a Tumbling Target,M. Leomanni et al.,2022,"Journal of Guidance, Control, and Dynamics (IF≈2.6, 估计)",对翻滚目标（Envisat场景）自主会合对接的在线轨迹规划,变规划时域优化，将非凸问题化为有限个线性规划（时域搜索+多胞体约束近似），可自动选择有利对接构型,'有利对接构型'按燃料/走廊几何评价，不含捕获冲量或抓取后可稳定性；对接被建模为运动学终端条件，质量比与角动量转移无关联,https://arc.aiaa.org/doi/10.2514/1.G006340,非合作在轨服务任务与制导（任务级可行性、ADR任务设计中的质
Fuzzy multi-criteria decision-making approach to prioritization of space debris for removal,"J.M. Sánchez-Lozano et al. (与M.C.F. Bazzocchi, H. Hakima)",2021,"Advances in Space Research (IF≈2.6, 估计)",多准则下对2000+关键碎片的移除优先级排序,Fuzzy TOPSIS/MCDM，准则含轨道、尺寸、质量、成对与总碰撞概率、衰减时限，兼容定性判断,是目标'值不值得移'的排序学，不是'抓不抓得住'的可行性判定；准则集中无目标转动状态/质量比项，权重依赖专家主观赋值,https://www.sciencedirect.com/science/article/abs/pii/S0273117720307882,非合作在轨服务任务与制导（任务级可行性、ADR任务设计中的质
Identifying the 50 statistically-most-concerning derelict objects in LEO,D. McKnight et al.,2021,"Acta Astronautica (IF≈3.5, 估计)",为ADR产业给出全球公认的高优先级目标清单,13国/11种方法的联盟式交叉排序，四大准则：质量、遭遇率、轨道寿命、与在役卫星邻近度；SL-16火箭体群居首,四准则均为环境/统计量，无任何动力学可捕获性维度；作者自己指出清单只是'商业方案的起点'，从清单到任务需另行可行性分析——该分析方法学正是空白,https://www.sciencedirect.com/science/article/abs/pii/S0094576521000217,非合作在轨服务任务与制导（任务级可行性、ADR任务设计中的质
Impact modeling and reactionless control for post-capturing and maneuvering of orbiting objects using a multi-arm space robot,"D. Raina et al. (Gora, Maheshwari, Shah)",2021,"Acta Astronautica, Vol.182, pp.21-36 (IF约3.5, 估计)",多臂空间机器人捕获在轨目标的接近-冲击-后冲击全过程统一建模与后捕获无反作用机动,DeNOC(解耦自然正交补)多体动力学+冲量-动量法与动量守恒建冲击相，冲击后广义速度作为后冲击仿真初条件，再做reactionless控制,Dimitrov-Yoshida之后保真度最高的冲量-动量谱系代表，但未做完整项vs简化式的误差谱对比，冲量模型只作初条件供控制器使用，不接任务级go/no-go,https://doi.org/10.1016/j.actaastro.2021.01.034,捕获冲量与自由漂浮机械臂动力学
Optimal detumbling trajectory generation and coordinated control after space manipulator capturing tumbling targets,"Lijun Zong et al. (Luo, Wang)",2021,"Aerospace Science and Technology (IF约5.5, 估计)",捕获后组合体如何在末端力/力矩约束下最短时间消旋,以消旋时间为指标、末端力矩为约束求最优消旋轨迹（角动量从目标向服务星转移），并设计带稳定性证明的协调控制器,从捕获完成后开始，冲击瞬间的动量重分配被跳过；约束满足按单案验证，没有参数化(μ/角动量/容量)的可行域扫描,https://doi.org/10.1016/j.ast.2021.106626,捕获冲量与自由漂浮机械臂动力学
Optimal grasping pose for dual-arm space robot cooperative manipulation based on global manipulability,R. Xu et al. (M. Wang),2021,"Acta Astronautica, Vol.183, pp.300-309 (IF≈3.5估计)",捕获后为便于协同操作卫星，双臂末端在目标上的抓取位姿如何选,以全局可操作度为质量指标在目标表面规划双臂抓取位姿,"几何最优（可操作度）≠系统最优：不含组合体动量、冲量、执行机构容量；正是本项目""可操作度并列时杠杆选点使ω⁺减半""要对比的基线",https://www.sciencedirect.com/science/article/abs/pii/S009457652100134X,航天器抓取规划与可行域分析
Performance of Northrop Grumman's Mission Extension Vehicle (MEV) RPO imagers at GEO,"M. Pyrak et al. (J. Anderson, Northrop Grumman/SpaceLogistics)",2021,"AMOS Conference 2021 (另见SPIE Proc. 12115, DOI 10.1117/12.2631524)",MEV-1/2与Intelsat-901/10-02对接任务中RPO传感与逼近验证的实测性能,飞行实证：可见光/长波红外/扫描LIDAR三异构传感，19天多次练习逼近-后撤校准，对接前分级hold点与abort逻辑,目标为三轴稳定、带对接环的合作式GEO卫星；公开准则限于传感与逼近安全，不含翻滚目标或捕获动力学约束——反衬非合作翻滚捕获准则的空白,https://amostech.com/TechnicalPapers/2021/Poster/Pyrak.pdf,非合作在轨服务任务与制导
Robotic Manipulation and Capture in Space: A Survey,"E. Papadopoulos et al. (F. Aghili, O. Ma, R. Lampariello)",2021,"Frontiers in Robotics and AI (IF~3, 估计)",更新空间机器人抓捕与操作的动力学、规划与控制技术版图,综述：覆盖自由漂浮动力学奇异、接触力学、目标运动预测、捕获前规划与捕获后稳定,明确缺少系统性捕获前可行性评估方法；不量化质量比/角动量阈值——可作为gap statement直接引用,https://www.frontiersin.org/articles/10.3389/frobt.2021.686723/full,非合作在轨服务任务与制导
基于能力评估的空间翻滚目标抓捕策略优化 (Optimal Grasping Strategy of Space Tumbling Target Based on Manipulability),许若男 et al. (罗建军、王明明),2021,"力学学报 53(10):2841-2852 (EI, DOI:10.6052/0459-1879-21-436)",双臂空间机器人对动态翻滚目标的抓捕点与抓捕时刻选择,闭链约束下建立协调工作空间，全局灵巧度指标选抓捕点，任务相容度指标（含消旋、速度跟踪、力控制）评估能力,能力指标全部是雅可比层面的运动静力学量；作者明确未做抓捕后稳定性分析；无angular momentum/质量比可行域,https://pubs.cstam.org.cn/lxxb/article/Y2021/I10/2841,航天器抓取规划与可行域分析
Capturing and deorbiting Envisat with an Airbus Spacetug. Results from the ESA e.Deorbit consolidation phase study,S. Estable et al. (Airbus/CBK/MDA/SENER/GMV),2020,"Journal of Space Safety Engineering (IF~1.3, 估计), Vol.7(1), pp.52-66",8吨翻滚Envisat的捕获-固连-受控再入任务与飞行器方案定义,运动同步+机械臂捕获LAR+夹紧机构刚化+组合体消旋与离轨的完整任务链设计，接触动力学仿真验证,可行性以点工况(给定翻滚率)仿真收口，无解析冲量模型、无参数化可行域；任务最终未获批飞行,https://www.sciencedirect.com/science/article/abs/pii/S2468896720300070,非合作在轨服务任务与制导
Detumbling of a non-cooperative target with unknown inertial parameters using a space robot,"R.A. Gangapersaud et al. (G. Liu, A.H.J. de Ruiter)",2019,Advances in Space Research（IF约2.6，估计）,目标惯量未知且末端抓持力/力矩有限时如何安全消旋,鲁棒自适应消旋控制，实时估计目标惯量参数界以收紧鲁棒增益，显式尊重末端F/T上限且不需F/T传感,执行机构约束（末端F/T）是控制律内饱和处理，不回答'该目标在此容量下是否可消旋'；轮组动量容量与推力器冲量预算未进入判定,https://doi.org/10.1016/j.asr.2019.03.002,捕获后稳定 / 消旋 / 动量管理（post-capture
Simultaneous Capture and Detumble of a Resident Space Object by a Free-Flying Spacecraft-Manipulator System,J. Virgili-Llop & M. Romano,2019,"Frontiers in Robotics and AI (IF≈2.9, 估计)",自由飞行机械臂能否在捕获瞬间同时完成消旋（终端组合体角动量为零）,凸规划序列求解捕获+消旋一体化轨迹，终端约束统一编码末端位姿/速度与chaser动量；蒙特卡洛扫初始状态,本簇内最接近'可行域'的工作：报告可行性随目标角动量增大而下降、特定组合<7°/s可行，但仅单一chaser/target质量比组合的数值结论，未参数化μ–H–执行机构容量、无边界闭式、无捕获接触冲量模型（假设理想抓取）,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2019.00014/full,非合作在轨服务任务与制导（任务级可行性、ADR任务设计中的质
Design and Operational Elements of the Robotic Subsystem for the e.deorbit Debris Removal Mission,"S. Jaekel et al. (R. Lampariello, DLR/OHB/MDA/Airbus/ESA)",2018,"Frontiers in Robotics and AI (IF~3, 估计), 5:100",7自由度机械臂捕获翻滚Envisat的机器人分系统设计与可行性论证,设计规格法：翻滚≤5°/s(任意轴)设计包线、LAR抓点±21mm/±2°捕获包络、阻抗控制捕获+推力器组合体消旋；最坏工况(5°/s中间轴)下验证关节力矩逼近176Nm极限,5°/s阈值是给定规格而非推导边界；抓点按几何/刚度选择而非捕获后稳定裕度；关节载荷靠仿真逐例校核，无闭式六维冲量界,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2018.00100/full,非合作在轨服务任务与制导
Detumbling strategy and coordination control of kinematically redundant space robot after capturing a tumbling target,M. Wang et al.,2018,Nonlinear Dynamics（IF约5.6，估计）,冗余空间机械臂捕获翻滚目标后如何规划消旋轨迹并协调基座姿态,四次Bezier曲线+自适应粒子群优化，在消旋时间与控制力矩约束下求最优消旋轨迹；协调控制跟踪并调节基座姿态,力矩约束只作为优化内约束，不输出可行域边界；目标惯量已知；7-DOF仿真验证，无实验,https://doi.org/10.1007/s11071-018-4106-4,捕获后稳定 / 消旋 / 动量管理（post-capture
