asset_id,asset_type,path,exists,units,frame,parent_frame,mesh_bounds,mass,com,confidence,git_commit,sha256,usable_for_render,blocking_issue
b601_mesh_gripper_link,mesh_stl,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/gripper_link.STL,yes,m (VERIFIED: bbox x_span 0.0775 vs gripper_joint1 |x| offset 0.0421; a mm mesh would be ~1000x off),gripper_link,URDF chain (parent per joint),"[-0.1507,-0.0920,-0.0385]..[-0.0732,0.0920,0.0385]",0.181800159145243 kg (URDF inertial),"[-0.11400456131826, 7.30809328589541e-05, -8.098254686284e-08] (link frame)",medium,ae87f34,a826e164d420a6922e8ad5ee27813f39fa809f6e4fdf39b42fd8a59e7d12e847,yes,"53526 faces; display decimation to <=20000 faces (vertex clustering, display-only)"
b601_mesh_gripper_left,mesh_stl,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/gripper_left.STL,yes,m (VERIFIED: bbox span 0.1342 vs finger stroke upper limit 0.0715; a mm mesh would be ~1000x off),gripper_left,URDF chain (parent per joint),"[-0.0586,-0.0465,-0.0196]..[0.0343,0.0421,0.0196]",0.0423278952416158 kg (URDF inertial),"[0.00937154605945142, -0.0183514409006279, -0.00213050813223617] (link frame)",medium,ae87f34,c4e0de70f776b3573d975a6eaaa746cccbe57c2d5bb12501da8889979d3af268,yes,"42392 faces; display decimation to <=20000 faces (vertex clustering, display-only)"
b601_mesh_gripper_right,mesh_stl,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/gripper_right.STL,yes,m (VERIFIED: bbox span 0.1342 vs finger stroke upper limit 0.0715; a mm mesh would be ~1000x off),gripper_right,URDF chain (parent per joint),"[-0.0586,-0.0421,-0.0196]..[0.0343,0.0465,0.0196]",0.0423278949561274 kg (URDF inertial),"[0.00937154599936671, 0.0183514410059713, 0.00213050822993754] (link frame)",medium,ae87f34,615b119c0bb97a032badd5882144e4a2a50c905a3e071af1fa28b83bfe9b1b65,yes,"42392 faces; display decimation to <=20000 faces (vertex clustering, display-only)"
b601_model_py,code_truth_fk,30_simulation/sim_05_free_floating_arm/b601_model.py,yes,m/rad,S,-,,,,validated (sim_05 mainline),ae87f34,afa030ed0adcc94a96b6240ea6e9e2bfa0eb72cd1d489fd40d133ec3336276e2,yes,"FK numerical truth; render chain is independent and cross-checked (<1 mm / <0.1 deg, see b601_renderer.fk_alignment_selftest)"
sim09_adapters_py,code_scene_placement,30_simulation/sim_09_grasp_evaluator/src/adapters.py,yes,m/rad,I/S,-,,,,validated (E0/E1 anchored),ae87f34,bd35e46683f38c3aad61f32d36c6edd2047c5b23da62e30886a85861e60ff794,yes,scene_placement + general_capture_scenario imported read-only (never re-derived)
sim09_e1_thin_slice_py,code_candidate_defs,30_simulation/sim_09_grasp_evaluator/src/e1_thin_slice.py,yes,m,D,-,,,,E1 grid (P1/P2/P3 frames match E1.5 geometry_group_keys),ae87f34,358ca621ceee0b2b4aa80046e48f41d858a5fb313663b7faf43b33f24ca055fc,yes,E1.5 runner itself lives outside this repo; E1.5 scenario_hash is roll-parameterized and differs from E1 for identical case_ids
sim09_target_propagation_py,code_truth_propagation,30_simulation/sim_09_grasp_evaluator/src/target_propagation.py,yes,m/rad/s,I,-,,,,validated (t5 anchor),ae87f34,38596ec1e4bd39de279a33b8309ae55c8467e1b691f11b6adca09765d965d965,yes,
mass_inertia_budget_v1,mass_budget_csv,20_engineering/stage1_spacecraft_layout/04_mass_inertia_budget/mass_inertia_budget_v1.csv,yes,"kg, m, kg m^2",per object,-,,,,low (self-defined block-model densities),ae87f34,073c802527e35c9495188eefd5d8ba51f524d326142cf2ab31e436bad0899392,yes,
frame_tree_v1,frame_ssot_yaml,20_engineering/config/geometry/frame_tree_v1.yaml,yes,mm (converted to m in code),tree,-,,,,nominal_frozen_v1,ae87f34,2d5c2effc30f53c75344f3741a260c849b72b1a4f214323475cc39b7f35e23ff,yes,
coordinate_frame_definition_v0,frame_ssot_md,20_engineering/stage1_spacecraft_layout/04_mass_inertia_budget/coordinate_frame_definition_v0.md,yes,mm/deg,tree,-,,,,nominal_frozen_v1 (sec 3.1),ae87f34,347444f4f5470dc0e3a3060996074ff1774d2cbcc200cb70deb32c188b96f32a,yes,
e15_geometry_manifest,e15_snapshot,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/results__sim_09_grasp_evaluator__e15_geometry_manifest.json,yes,SI (per column headers),-,-,,,,E1.5 evidence snapshot of commit 7de78a2,ae87f34,d09f973d7d77ef3e056c633511a16d20a8bf6835a9a7b5d722927c32d403886f,yes,24 groups / 96 detail rows; roll grid -90..+90 step 30; selections: P1|tc=0|pose_6d SELECTED roll 0
e15_results_72cases,e15_snapshot,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/results__sim_09_grasp_evaluator__e15_results_72cases.csv,yes,SI (per column headers),-,-,,,,E1.5 evidence snapshot of commit 7de78a2,ae87f34,876f72274c0e0f9db8418f3df9a72298a72278459a751885793a2bce23ecee54,yes,"target_id = target_debris_v0 for ALL 72 rows (P1/P2/P3 are debris rim points, NOT the 22 kg satellite); admissible 0/72; tumble axis/omega not restated in snapshot -> E1 in-repo values are context only"
e15_geometry_roll_details,e15_snapshot,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/results__sim_09_grasp_evaluator__e15_geometry_roll_details.csv,yes,SI (per column headers),-,-,,,,E1.5 evidence snapshot of commit 7de78a2,ae87f34,8580332f252a564d8e0be05b4d1b3cd5e2b25e11cb1eb816781ab66b693479cc,yes,hard-screen feasible rolls: only P1|tc=0 (pose_6d: -90..+90 all 7; approach_5d: unconstrained)
e15_run_manifest,e15_snapshot,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/results__sim_09_grasp_evaluator__e15_run_manifest.json,yes,SI (per column headers),-,-,,,,E1.5 evidence snapshot of commit 7de78a2,ae87f34,b634ee4d6758aeeee9ad107544266616a71141fb13df0bbce559b06ba0b9cefd,yes,
e15_gate_check,e15_snapshot,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/results__sim_09_grasp_evaluator__e15_gate_check.json,yes,SI (per column headers),-,-,,,,E1.5 evidence snapshot of commit 7de78a2,ae87f34,14791c2937eead5a93406c02eeb66b20d96f4fbb149df0e5f367b26c94436e2a,yes,gate REPEAT_E1_5; state_counts SAFE 0 / UNKNOWN 3 / UNSAFE 69 -> no figure may show any grasp as physically safe
e15_summary_metrics,e15_snapshot,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_summary_metrics.csv,yes,SI (per column headers),-,-,,,,E1.5 evidence snapshot of commit 7de78a2,ae87f34,a34fdf5a3393379c4b580c6a409ba4d455b994432f923b86aa47efb86b68f8f7,yes,
