role,manufacturer,MPN,quantity,status,source
Q202: Common-drain N-channel power MOSFET,see source,CSD19536KTT,1,SELECTED_CANDIDATE,"csd19536ktt.pdf RevC May2025 pp1,3"
Q203: Common-drain N-channel power MOSFET,see source,CSD19536KTT,1,SELECTED_CANDIDATE,"csd19536ktt.pdf RevC May2025 pp1,3"
J201: Probe only; never bridge pins to bypass startup supervisor,see source,PROJECT_CHB_ENABLE_TEST_POINTS_NO_JUMPER,1,NO_JUMPER_DESIGN,PROJECT connector; external isolated enable driver unimplemented
"J202: Manual reset test pads, no automatic rearm",see source,PROJECT_HOTSWAP_RESET,1,SELECTED_CANDIDATE,LM5069 RevG reset low; TIMER<0.3V required
TP201: PGD now feeds U206 MR via input-side bias; low-input false-high independently screened,see source,PROJECT_PRECHARGE_PGD,1,CONNECTED_TO_STARTUP_SUPERVISOR,LM5069 RevG p12
"J203: Load-side sink now connected; energy, dynamic and thermal qualification OPEN",see source,PROJECT_LOAD_SIDE_BRAKE_PORT,1,ABSOLUTE_SINK_CIRCUIT_INTEGRATED_NOT_QUALIFIED,PROJECT connector: absolute voltage brake required
U205: Input-side startup bias; unrelated to load-side brake bias,see source,LT3013EDE#PBF,1,SELECTED_CANDIDATE,"lt3013.pdf RevE pp2-3,11-13,17"
U206: Qualify MAIN_FUSED voltage and PGD before CHB enable,see source,TPS3808G01DBVR,1,SELECTED_CANDIDATE,startup_tps3808.pdf RevN Aug2026 pp4-7
"Q204: Primary-side open-drain CHB enable; DiodesInc part, not Nexperia EOL variant",see source,2N7002K-7,1,SELECTED_CANDIDATE,"startup_2n7002k_diodes.pdf DiodesInc DS30896 Rev20-2 July2024 pp1,3"
R211: Startup bias feedback upper; nominal5.99V,see source,38.3k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R212: Startup bias feedback lower,see source,10k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R213: Bias minimum-load bleeder,see source,4.70k_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R214: PGD pull-up placed at U201; receiver pull-down detects downstream link opening,see source,3.48k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R215: Upstream MAIN_FUSED UV sense upper; not capacitor-side rail,see source,374k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R216: Upstream UV sense lower,see source,10k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R217: RESET gate pull-up; bounds5V gate floor and6.5V RESET ceiling; POR load remains open,see source,33k_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R218: Passive gate discharge when startup bias absent,see source,2.2M_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R219: CHB control pull-up to precharged input; no floating off state,see source,100k_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R220: MR receiver pull-down dominates internal70k pull-up on link open,see source,10k_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
"R221: PGD signal series link; source-side pull-up, receiver-side pull-down",see source,100ohm_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C211: Startup bias local input,see source,1uF_100V_EFFECTIVE_MIN1uF,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C212: Startup bias stability; MPN and derating still open,see source,10uF_50V_EFFECTIVE_MIN3.3uF,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C213: Supervisor bypass,see source,100nF_25V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
U301: Load-side12V bias with reverse-output protection,see source,LT3013EDE#PBF,1,SELECTED_CANDIDATE,"lt3013.pdf RevE pp2,3,11-13,17"
U302: Absolute bus comparator; startup/propagation bounds OPEN,see source,TLV6700DDCR,1,SELECTED_CANDIDATE,"tlv6700.pdf RevB pp3,5,6"
U303: One gate driver; ON only with PG high and OV low,see source,UCC27511DBVR,1,SELECTED_CANDIDATE,"ucc27511.pdf RevF pp6,9,10"
R301: 12V bias upper,see source,86.6k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R302: 12V bias lower,see source,10k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R303: PG pullup; never exceed50uA sink,see source,270k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R304: Bias minimum load,see source,10k_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R305: Absolute OV sense upper,see source,676k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R306: Absolute OV sense lower,see source,10k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R307: OV high normal pullup,see source,10k_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C301: Bias input bypass; MPN not released,see source,1uF_100V_EFFECTIVE_MIN1uF,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C302: Bias output stability capacitor; derating unbound,see source,10uF_50V_EFFECTIVE_MIN3.3uF,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C303: PG delay; max startup duration unbound,see source,4.7nF_10pct_16V_C0G,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C304: OV comparator local bypass,see source,100nF_25V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C305: Gate driver local bypass,see source,1uF_25V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C306: OV input filter; wiring noise not qualified,see source,100pF_5pct_C0G,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
RB301: 1ohm branch resistor; pulse/heat-path not yet qualified,see source,LPS0300H1R00JB,1,SELECTED_CANDIDATE,"lps300.pdf pp1-4; terminals project IDs, electrically interchangeable"
Q301: Dedicated switch for resistor branch 1,see source,CSD19536KTT,1,SELECTED_CANDIDATE,"csd19536ktt.pdf RevC pp1,3"
D311: Local resistor inductance recirculation; both anodes tied,see source,STPS30H100CT,1,SELECTED_CANDIDATE,"stps30h100c.pdf Rev9 pp1,2,8"
R311: Separate turn-on gate resistor,see source,10ohm_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R312: Separate turn-off gate resistor,see source,2.2ohm_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R313: Local gate-source passive discharge,see source,10k_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
U311: Hot/short and open-sensor alarm for branch 1,see source,TLV6700DDCR,1,SELECTED_CANDIDATE,"tlv6700.pdf RevB pp3,5"
RT311: Temperature sensor at resistor body; attachment lag unbound,see source,NTCLE100E3103GB0,1,SELECTED_CANDIDATE,"ntcle100.pdf Doc29049;10k2pct,B25/85=3977K"
R341: Sensor bias from independent STOP3V3,see source,8.2k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R342: Open-sensor window upper,see source,649k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R343: Open-sensor window lower,see source,100k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C311: Temperature comparator bypass,see source,100nF_25V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
RB302: 1ohm branch resistor; pulse/heat-path not yet qualified,see source,LPS0300H1R00JB,1,SELECTED_CANDIDATE,"lps300.pdf pp1-4; terminals project IDs, electrically interchangeable"
Q302: Dedicated switch for resistor branch 2,see source,CSD19536KTT,1,SELECTED_CANDIDATE,"csd19536ktt.pdf RevC pp1,3"
D312: Local resistor inductance recirculation; both anodes tied,see source,STPS30H100CT,1,SELECTED_CANDIDATE,"stps30h100c.pdf Rev9 pp1,2,8"
R314: Separate turn-on gate resistor,see source,10ohm_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R315: Separate turn-off gate resistor,see source,2.2ohm_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R316: Local gate-source passive discharge,see source,10k_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
U312: Hot/short and open-sensor alarm for branch 2,see source,TLV6700DDCR,1,SELECTED_CANDIDATE,"tlv6700.pdf RevB pp3,5"
RT312: Temperature sensor at resistor body; attachment lag unbound,see source,NTCLE100E3103GB0,1,SELECTED_CANDIDATE,"ntcle100.pdf Doc29049;10k2pct,B25/85=3977K"
R344: Sensor bias from independent STOP3V3,see source,8.2k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R345: Open-sensor window upper,see source,649k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R346: Open-sensor window lower,see source,100k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C312: Temperature comparator bypass,see source,100nF_25V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
RB303: 1ohm branch resistor; pulse/heat-path not yet qualified,see source,LPS0300H1R00JB,1,SELECTED_CANDIDATE,"lps300.pdf pp1-4; terminals project IDs, electrically interchangeable"
Q303: Dedicated switch for resistor branch 3,see source,CSD19536KTT,1,SELECTED_CANDIDATE,"csd19536ktt.pdf RevC pp1,3"
D313: Local resistor inductance recirculation; both anodes tied,see source,STPS30H100CT,1,SELECTED_CANDIDATE,"stps30h100c.pdf Rev9 pp1,2,8"
R317: Separate turn-on gate resistor,see source,10ohm_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R318: Separate turn-off gate resistor,see source,2.2ohm_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R319: Local gate-source passive discharge,see source,10k_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
U313: Hot/short and open-sensor alarm for branch 3,see source,TLV6700DDCR,1,SELECTED_CANDIDATE,"tlv6700.pdf RevB pp3,5"
RT313: Temperature sensor at resistor body; attachment lag unbound,see source,NTCLE100E3103GB0,1,SELECTED_CANDIDATE,"ntcle100.pdf Doc29049;10k2pct,B25/85=3977K"
R347: Sensor bias from independent STOP3V3,see source,8.2k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R348: Open-sensor window upper,see source,649k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R349: Open-sensor window lower,see source,100k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C313: Temperature comparator bypass,see source,100nF_25V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
TIM201: converter thermal interface,Henkel stock / project cut,BERGQUIST SIL PAD TSP1800ST 0.203mm nominal; project cut55.9x59mm,1,CURRENT_GEOMETRY_INSTALLED__PRELOAD_COMPRESSION_UNVERIFIED,thermal/COLD_TIM_INTERFACE_CONTRACT.json;mechanical/chb_bottom_tim.step.py;sources/COLD_TIM_SELECTION.json
mechanical cold-finger wall TIMs; no electrical ref,Henkel stock / project cut,BERGQUIST SIL PAD TSP1800ST 0.203mm nominal; project cut58x24mm,2,CURRENT_GEOMETRY_INSTALLED__PRELOAD_COMPRESSION_UNVERIFIED,thermal/COLD_TIM_INTERFACE_CONTRACT.json;mechanical/cold_finger_tim.step.py
