requirement_id,family,configurations,verification_methods,owner,cdr_baseline_status,m7_design_status,evidence_existing,evidence_m7_contract,retained_hold,flight_credit,prototype_credit,hash_backfill,notes
MSR-OPS-005,OPS,ARM_RELEASE,A|T|D|R,MECHANISMS_LEAD,HOLD_HDRM_RELIABILITY,TEST_REQUIRED_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp5_mechanisms/HDRM_ENGINEERING_PACK_V1.yaml PENDING_SIBLING_HASH,HDRM_PRODUCT_SELECTION; RELIABILITY_TARGET; release shock/clearance test,NO,NO,PENDING_SIBLING_HASH where M7 contract paths are cited,WP5 HDRM engineering pack is design analysis; product selection and release test remain HOLD.
MSR-OPS-006,OPS,ARM_TASK_READY,I|D|R,CAD_CONFIGURATION_OWNER,ACCEPTED_SEMANTIC_ENUM_ONLY_GEOMETRIC_READBACK_HOLD,ANALYTIC_CLOSED,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/CONFIGURATION_MATRIX.csv,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp1_structure_cad/PRODUCT_STRUCTURE_V1.yaml PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp1_structure_cad/DESIGN_FREEZE_ASSEMBLY_V1.step PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V1.yaml PENDING_SIBLING_HASH,hardware demonstration and flight credit remain NO,NO,LIMITED,PENDING_SIBLING_HASH where M7 contract paths are cited,Design-level activation/readback on neutral authority (ODR-03); readback records pending WP1 hash backfill at integration.
MSR-OPS-007,OPS,ARM_MANEUVER,A|T|D|R,ROBOTICS_MECHANICAL_OWNER,DERIVED_SIMULATION_EXISTS_MECHANICAL_LOAD_AUTHORITY_HOLD,ANALYTIC_CLOSED,OWNER_TASK_STATUS_20260821 | 30_simulation/sim_13_physics_gated_embodied_grasping/evidence/SIM13_ENVIRONMENT_BOOTSTRAP_GATE.json,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp7_fea_operational/FEA1_EVIDENCE_V1.json PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp1_structure_cad/HARNESS_ROUTING_V1.yaml PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp1_structure_cad/KEEP_OUT_REGISTER_V1.yaml PENDING_SIBLING_HASH,hardware trajectory test for flight; launch environments EXTERNAL (MSR-STR-003),NO,NO,PENDING_SIBLING_HASH where M7 contract paths are cited,Arm-maneuver operational FEA authorized by ODR-06; joint-load authority design-level via WP7 contract; harness sweep via WP1 contract.
MSR-OPS-008,OPS,PREGRASP|GRIPPER_PREGRASP,A|I|D|R,GRIPPER_OWNER,ACCEPTED_SEMANTIC_ENUM_AND_NEUTRAL_R1_GEOMETRY_PASS_HARDWARE_CONTACT_HOLD,TEST_REQUIRED_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/04_validation/GRIPPER_R1_GEOMETRY_VALIDATION.json,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp5_mechanisms/GRIPPER_ENGINEERING_PACK_V1.yaml PENDING_SIBLING_HASH,CONTACT_DATUM_METROLOGY; APPROACH_CORRIDOR authority; target geometry,NO,LIMITED,PENDING_SIBLING_HASH where M7 contract paths are cited,Neutral R1 geometry PASS stands; hardware contact datums unmeasured.
MSR-OPS-009,OPS,CAPTURE|GRIPPER_PARTIAL|GRIPPER_CLOSED,A|T|D|R,GRIPPER_OWNER,DERIVED_SIMULATION_ONLY_STRUCTURAL_CONTACT_LOAD_HOLD,TEST_REQUIRED_HOLD,OWNER_TASK_STATUS_20260821 | 30_simulation/sim_13_physics_gated_embodied_grasping/evidence/SIM13_ENVIRONMENT_BOOTSTRAP_GATE.json,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp7_fea_operational/FEA2_FEA8_DECK_REGISTER_V1.yaml PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp5_mechanisms/GRIPPER_ENGINEERING_PACK_V1.yaml PENDING_SIBLING_HASH,representative capture test; CONTACT_FRICTION_AUTHORITY; MATERIAL_ALLOWABLES,NO,NO,PENDING_SIBLING_HASH where M7 contract paths are cited,"22 kg / 150 kg capture FEA decks authorized by ODR-06 (design-level); impulses DERIVED research-bound, not authorized loads."
MSR-OPS-010,OPS,POST_CAPTURE_STABILIZATION,A|T|D|R,ROBOTICS_MECHANICAL_OWNER,DERIVED_SIMULATION_ONLY_QUALIFICATION_HOLD,TEST_REQUIRED_HOLD,OWNER_TASK_STATUS_20260821,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V1.yaml PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp10_mech_rl_v4/MECH_DYNAMICS_INTERFACE_V4.yaml PENDING_SIBLING_HASH,STABILITY_DEFINITION; measured/validated dynamic response,NO,NO,PENDING_SIBLING_HASH where M7 contract paths are cited,Simulation-derived only; no measured response exists.
MSR-OPS-011,OPS,SAFE_MODE,A|D|R,SYSTEM_SAFETY_OWNER,SIM13_UNKNOWN_FAIL_CLOSED_MECHANICAL_REQUIREMENTS_HOLD,EXTERNAL_HOLD,30_simulation/sim_13_physics_gated_embodied_grasping/evidence/SIM13_ENVIRONMENT_BOOTSTRAP_GATE.json,NONE,SAFE_MODE_MECHANICAL_REQUIREMENTS authorization absent,NO,LIMITED,NOT_APPLICABLE,SIM13 fail-closed bootstrap noted; mechanical safe-mode requirements not authorized.
MSR-OPS-012,OPS,LEFT_PANEL_FAIL,A|I|D|R,MECHANICAL_LEAD,ACCEPTED_SEMANTIC_ENUM_ONLY_PER_CONFIG_GEOMETRY_AND_LOAD_HOLD,ANALYTIC_CLOSED,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/CONFIGURATION_MATRIX.csv,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp1_structure_cad/PRODUCT_STRUCTURE_V1.yaml PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V1.yaml PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp7_fea_operational/FEA2_FEA8_DECK_REGISTER_V1.yaml PENDING_SIBLING_HASH,flight load test; per-config hardware interference demo,NO,LIMITED,PENDING_SIBLING_HASH where M7 contract paths are cited,ODR-02 attached-stuck semantics; nine-config design mass model + panel-failure FEA deck cover design level; WP1 interference records pending hash.
MSR-OPS-013,OPS,RIGHT_PANEL_FAIL,A|I|D|R,MECHANICAL_LEAD,ACCEPTED_SEMANTIC_ENUM_ONLY_PER_CONFIG_GEOMETRY_AND_LOAD_HOLD,ANALYTIC_CLOSED,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/CONFIGURATION_MATRIX.csv,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp1_structure_cad/PRODUCT_STRUCTURE_V1.yaml PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V1.yaml PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp7_fea_operational/FEA2_FEA8_DECK_REGISTER_V1.yaml PENDING_SIBLING_HASH,flight load test; per-config hardware interference demo,NO,LIMITED,PENDING_SIBLING_HASH where M7 contract paths are cited,Same basis as MSR-OPS-012.
MSR-OPS-014,OPS,BOTH_PANEL_FAIL,A|I|D|R,MECHANICAL_LEAD,ACCEPTED_SEMANTIC_ENUM_ONLY_PER_CONFIG_GEOMETRY_AND_LOAD_HOLD,ANALYTIC_CLOSED,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/CONFIGURATION_MATRIX.csv,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp1_structure_cad/PRODUCT_STRUCTURE_V1.yaml PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V1.yaml PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp7_fea_operational/FEA2_FEA8_DECK_REGISTER_V1.yaml PENDING_SIBLING_HASH,flight load test; per-config hardware interference demo,NO,LIMITED,PENDING_SIBLING_HASH where M7 contract paths are cited,Same basis as MSR-OPS-012.
MSR-STR-001,STR,ALL_B601_SIMULATION_CONFIGURATIONS,I|R,ROBOTICS_MODEL_OWNER,PASS_SIMULATION_INTERFACE_ONLY_PHYSICAL_MASS_HOLD,PASS_EVIDENCE,20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf | 20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/MECH_RL_INTERFACE_V1.yaml,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_REGISTER_V1.yaml,physical mass reconciliation (see MSR-STR-002),NO,YES,PENDING_SIBLING_HASH where M7 contract paths are cited,L0 URDF SHA-256 re-verified this loop (see receipt.json l0_urdf_sha256_check); 4.695555949342986 kg never overridden.
MSR-STR-002,STR,ALL,A|I|T|R,MASS_PROPERTIES_OWNER,HOLD_PHYSICAL_MASS_AND_INERTIA_RECONCILIATION,EXTERNAL_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/MASS_PROPERTIES_TABLE.csv,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V1.yaml PENDING_SIBLING_HASH (design-level partial),AS_BUILT_MASS_MEASUREMENT; M3R as-built open (ODR-05 retained),NO,NO,PENDING_SIBLING_HASH where M7 contract paths are cited,WP2 design mass model is DESIGN class; as-built hardware reconciliation is an external measurement input.
MSR-STR-003,STR,ALL_LOAD_CASES,A|R,STRUCTURAL_DYNAMICS_OWNER,HOLD_LOAD_AND_ENVIRONMENT_AUTHORITY,EXTERNAL_HOLD,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/01_wp0_requirements/STANDARDS_TAILORING_MATRIX_V1.csv,NONE,LAUNCHER_ICD; MISSION_ENVIRONMENT; authorized loads spec,NO,NO,NOT_APPLICABLE,"CDR operational loads (19 families / 21 cases / 13 combinations; capture impulses) are DERIVED research-bound, not an authorized loads spec."
MSR-STR-004,STR,ALL_LOAD_CASES,A|T|R,STRESS_LEAD,HOLD_ALLOWABLES_FACTORS_LOADS_AND_ANALYSIS,TEST_REQUIRED_HOLD,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/01_wp0_requirements/MECHANICAL_VERIFICATION_CONTROL_DOCUMENT_V1.csv,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp7_fea_operational/FEA1_EVIDENCE_V1.json PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp7_fea_operational/FEA1_RESULTS_V1.csv PENDING_SIBLING_HASH,MATERIAL_ALLOWABLES + FACTORS_OF_SAFETY (also external); flight load test; LAUNCH_QUALIFICATION_FEA_HOLD (ODR-06 retained),NO,NO,PENDING_SIBLING_HASH where M7 contract paths are cited,WP7 operational FEA covers ODR-06 cases at design level only; no flight margin credit.
MSR-STR-005,STR,M3R_REV_B2,A|I|T|R,M3R_OWNER,HOLD_M3R_MASS_RECONCILIATION,ANALYTIC_CLOSED,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_ADAPTER_BOM_CANDIDATE.csv | 20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/08_bom/V5_NATIVE_BOM_SEED.csv,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_REGISTER_V1.yaml#ODR-05; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V1.yaml PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp9_release_package/BOM_V3_DESIGN.csv,M3R_AS_BUILT_MEASUREMENT_OPEN (ODR-05 retained),NO,NO,PENDING_SIBLING_HASH where M7 contract paths are cited,0.7619 kg DESIGN_BUDGET conf B is the single design authority; replaces 761.904197 g legacy and 782.327248 g provisional CAD-density values at design level.
MSR-STR-006,STR,M3R_REV_B2,I|R,M3R_OWNER,HOLD_RELEASED_DATUM_AND_TOLERANCE_AUTHORITY,ANALYTIC_CLOSED,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp3_tolerance_alloc/DRAWING_TOLERANCE_SCHEME_V1.csv PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp1_structure_cad/PRODUCT_STRUCTURE_V1.yaml PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp9_release_package/D05_STAGE_A.svg; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp9_release_package/D06_STAGE_B.svg; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp9_release_package/INSPECTION_PLAN_V1.csv#KC-01,hardware datum inspection; owner drawing release signature,NO,LIMITED,PENDING_SIBLING_HASH where M7 contract paths are cited,Stage A+B architecture and datums preserved on D05/D06; PCD 90.509642 / clocking 25.000014 deg reconciled; non-continuous mounting face retained.
MSR-STR-007,STR,M3R_REV_B2|ALL_LOAD_CASES,A|I|T|R,JOINTS_AND_FASTENERS_OWNER,HOLD_M3R_FASTENER_MOS_AND_PRELOAD,ANALYTIC_CLOSED,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/OPEN_HOLD_REGISTER.csv,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp4_fastener_design/M3R_FASTENER_DESIGN_V1.yaml PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp4_fastener_design/TORQUE_PRELOAD_SCHEDULE_V1.csv PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp4_fastener_design/FASTENER_ANALYTIC_CHECKS_V1.csv PENDING_SIBLING_HASH,owner-authorized margin criteria absent; joint test for flight,NO,NO,PENDING_SIBLING_HASH where M7 contract paths are cited,WP4 delivers design fastener spec + analytic checks with declared candidate factors; margins computed against candidate-class allowables only.
MSR-STR-008,STR,M3R_REV_B2,A|I|T|R,M3R_OWNER,HOLD_M3R_LOCATING_DOWEL_FIT,TEST_REQUIRED_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/OPEN_HOLD_REGISTER.csv,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp3_tolerance_alloc/TOLERANCE_CHAIN_REGISTER_V1.yaml PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp9_release_package/INSPECTION_PLAN_V1.csv#KC-06,representative fit inspection; dowel spec release (diameter/material/fit/insertion/removal),NO,NO,PENDING_SIBLING_HASH where M7 contract paths are cited,M6 WC clocking 1.8909e-3 rad is design evidence; representative hardware fit inspection remains.
MSR-STR-009,STR,QUALIFICATION_CONFIGURATION|FLIGHT_CONFIGURATION,A|I|T|R,QUALIFICATION_LEAD,HOLD_FLIGHT_STRUCTURE_QUALIFICATION,EXTERNAL_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,NONE,MODEL_PHILOSOPHY; TEST_LEVELS; qualification program; launcher ICD,NO,NOT_APPLICABLE,NOT_APPLICABLE,Gate B scope; no qualification article or authorized test program exists.
MSR-MEC-001,MEC,GRIPPER_CLOSED|GRIPPER_PARTIAL|GRIPPER_PREGRASP|GRIPPER_OPEN,A|I|R,GRIPPER_OWNER,PASS_NEUTRAL_R1_INTERNAL_SWEEP_ONLY,PASS_EVIDENCE,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/04_validation/GRIPPER_R1_GEOMETRY_VALIDATION.json,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_REGISTER_V1.yaml#ODR-04,flight credit NO; scope limited to internal sweep,NO,YES_LIMITED,PENDING_SIBLING_HASH where M7 contract paths are cited,"144 samples @ 0.5 mm over 0–71.5 mm, zero overlap, hash-bound R1 assets; ODR-04 supersedes the 36 legacy native findings."
MSR-MEC-002,MEC,ALL_GRIPPER_CONFIGURATIONS,I|D|R,CAD_CONFIGURATION_OWNER,HOLD_NATIVE_V5_GRIPPER_R1_REINTEGRATION,EXTERNAL_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_REGISTER_V1.yaml#ODR-03/ODR-04 (supersession recorded),NATIVE_R1_REINTEGRATION (permanent unless owner re-authorizes native line),NO,NO,PENDING_SIBLING_HASH where M7 contract paths are cited,Native line permanently off critical path (ODR-03); neutral R1 authority passes continuous stroke (ODR-04); no native credit claimed.
MSR-MEC-003,MEC,ALL_GRIPPER_CONFIGURATIONS,A|I|T|R,GRIPPER_OWNER,HOLD_GRIPPER_MANUFACTURING_CLEARANCE,EXTERNAL_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/OPEN_HOLD_REGISTER.csv,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp3_tolerance_alloc/TOLERANCE_CHAIN_REGISTER_V1.yaml PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp8_thermal/THERMO_ELASTIC_ENVELOPE_V1.csv PENDING_SIBLING_HASH (design support),MINIMUM_CLEARANCE_REQUIREMENT (owner-authorized value absent); wear/contamination allowance,NO,NO,PENDING_SIBLING_HASH where M7 contract paths are cited,WP3/WP8 supply WC + thermal sensitivity analysis; the authorized clearance limit is an external owner input.
MSR-MEC-004,MEC,ALL_GRIPPER_CONFIGURATIONS,A|I|R,GRIPPER_OWNER,HOLD_GRIPPER_MINIMUM_WALL_THICKNESS,EXTERNAL_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp5_mechanisms/GRIPPER_ENGINEERING_PACK_V1.yaml PENDING_SIBLING_HASH (design support),MINIMUM_WALL_REQUIREMENT authorized value; R1 metrology,NO,NO,PENDING_SIBLING_HASH where M7 contract paths are cited,No owner-authorized minimum wall value exists.
