case_id,load_family,source_status,m5_disposition,m5_status,coordinate_frame,claim_limit,note
LC-011,arm_emergency_stop,HOLD_NO_STOP_LAW_OR_ACTUATOR_AUTHORITY,RETAINED_HOLD_NO_NEW_PHYSICAL_AUTHORITY,HOLD_NO_STOP_LAW_OR_ACTUATOR_AUTHORITY,ARM_BASE_FRAME,NO_EMERGENCY_STOP_STRENGTH_CONCLUSION,Source case retained with original claim limit.
LC-012,arm_joint_lock,HOLD_NO_FAULT_LOAD_AUTHORITY,RETAINED_HOLD_NO_NEW_PHYSICAL_AUTHORITY,HOLD_NO_FAULT_LOAD_AUTHORITY,JOINT_LOCAL_FRAMES,NO_JOINT_LOCK_OR_SAFE_MODE_CONCLUSION,Source case retained with original claim limit.
LC-013,capture_22kg_anchor,DERIVED_SIMULATION_NOT_STRUCTURAL_AUTHORITY,SUPERSEDED_FOR_REPRODUCIBILITY_BY_SIM15_DIAGNOSTIC_ENVELOPE,DIAGNOSTIC_IMPULSE_ONLY_CONTACT_FORCE_HOLD,GRIPPER_CONTACT_FRAME_PROVISIONAL,NO_GRIPPER_M3R_OR_BUS_STRENGTH_CONCLUSION,"The M5/Sim15 rerun binds current fixture, target properties, solver, and output hashes."
LC-014,capture_150kg_anchor,DERIVED_SIMULATION_NOT_STRUCTURAL_AUTHORITY,SUPERSEDED_FOR_REPRODUCIBILITY_BY_SIM15_DIAGNOSTIC_ENVELOPE,DIAGNOSTIC_IMPULSE_ONLY_CONTACT_FORCE_HOLD,GRIPPER_CONTACT_FRAME_PROVISIONAL,NO_GRIPPER_M3R_OR_BUS_STRENGTH_CONCLUSION,"The M5/Sim15 rerun binds current fixture, target properties, solver, and output hashes."
LC-015,capture_eccentricity,HOLD_NO_CAPTURE_DISPERSION_AUTHORITY,RETAINED_HOLD_NO_NEW_PHYSICAL_AUTHORITY,HOLD_NO_CAPTURE_DISPERSION_AUTHORITY,GRIPPER_CONTACT_FRAME_PROVISIONAL,NO_CAPTURE_ROBUSTNESS_CONCLUSION,Source case retained with original claim limit.
LC-016,gripper_closure,HOLD_NO_CONTACT_FORCE_OR_FRICTION_AUTHORITY,RETAINED_HOLD_NO_NEW_PHYSICAL_AUTHORITY,HOLD_NO_CONTACT_FORCE_OR_FRICTION_AUTHORITY,GRIPPER_LINK_FRAME,NO_CONTACT_FORCE_LIFE_OR_STRENGTH_CONCLUSION,Source case retained with original claim limit.
LC-017,post_capture_stabilization,HOLD_NO_INTERFACE_REACTION_HISTORY,RETAINED_HOLD_NO_NEW_PHYSICAL_AUTHORITY,HOLD_NO_INTERFACE_REACTION_HISTORY,SPACECRAFT_ASSEMBLY_FRAME,NO_POST_CAPTURE_STRUCTURAL_CONCLUSION,Source case retained with original claim limit.
LC-018,post_capture_stabilization,HOLD_NO_INTERFACE_REACTION_HISTORY,RETAINED_HOLD_NO_NEW_PHYSICAL_AUTHORITY,HOLD_NO_INTERFACE_REACTION_HISTORY,SPACECRAFT_ASSEMBLY_FRAME,NO_POST_CAPTURE_STRUCTURAL_CONCLUSION,Source case retained with original claim limit.
LC-019,thermal_gradient,HOLD_NO_MISSION_THERMAL_ENVIRONMENT,RETAINED_HOLD_NO_NEW_PHYSICAL_AUTHORITY,HOLD_NO_MISSION_THERMAL_ENVIRONMENT,SPACECRAFT_ASSEMBLY_FRAME,NO_THERMAL_ALIGNMENT_OR_PRELOAD_CONCLUSION,Source case retained with original claim limit.
LC-020,safe_mode,HOLD_SAFE_MODE_MECHANICAL_STATE_UNDEFINED,RETAINED_HOLD_NO_NEW_PHYSICAL_AUTHORITY,HOLD_SAFE_MODE_MECHANICAL_STATE_UNDEFINED,SPACECRAFT_ASSEMBLY_FRAME,NO_SAFE_MODE_MECHANICAL_CONCLUSION,Source case retained with original claim limit.
LC-021,m3r_unit_load,AUTHORIZED_MODEL_CHARACTERIZATION_ONLY,ADMITTED_TO_M5_ANALYTIC_JOINT_SENSITIVITY_ONLY,AUTHORIZED_ANALYTIC_GEOMETRY_CHARACTERIZATION_NO_FEA,B601_AS_BUILT_PATTERN_DATUM,NO_FLIGHT_STRENGTH_OR_MOS_CONCLUSION,"No strength, preload, slip, separation, or margin conclusion is created."
