row_id,case_class,band_id,band_flag,t_hot_degC,t_cold_degC,delta_T_K,interface,metric,material_scenario,value,unit,value_kind,margin_reference_id,margin_reference_value,margin_consumption_ratio,margin_impact,authority_level,notes
WP8-0011,COLD,GEVS_TYP_PROTOFLIGHT_TEST,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,60.0,-20.0,-40,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,-289.279767633,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0012,HOT_TO_COLD,GEVS_TYP_PROTOFLIGHT_TEST,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,60.0,-20.0,80,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,578.559535267,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Hot-to-cold end-state excursion (T_hot-T_cold); linear model makes the swing reference-temperature independent. Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0013,HOT,MIL_STD_1540_REFERENCE_PROTOQUALIFICATION_TEST,ASSUMPTION_REFERENCE_BAND_MIL_STD_1540_BEYOND_GEVS,66.0,-29.0,46,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,332.671732778,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model inside/near source interval; candidate CTEs, not allowables. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0014,COLD,MIL_STD_1540_REFERENCE_PROTOQUALIFICATION_TEST,ASSUMPTION_REFERENCE_BAND_MIL_STD_1540_BEYOND_GEVS,66.0,-29.0,-49,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,-354.367715351,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0015,HOT_TO_COLD,MIL_STD_1540_REFERENCE_PROTOQUALIFICATION_TEST,ASSUMPTION_REFERENCE_BAND_MIL_STD_1540_BEYOND_GEVS,66.0,-29.0,95,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,687.039448129,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Hot-to-cold end-state excursion (T_hot-T_cold); linear model makes the swing reference-temperature independent. Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0016,HOT,MIL_STD_1540_REFERENCE_QUALIFICATION_TEST,ASSUMPTION_REFERENCE_BAND_MIL_STD_1540_BEYOND_GEVS,71.0,-34.0,51,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,368.831703732,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model inside/near source interval; candidate CTEs, not allowables. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0017,COLD,MIL_STD_1540_REFERENCE_QUALIFICATION_TEST,ASSUMPTION_REFERENCE_BAND_MIL_STD_1540_BEYOND_GEVS,71.0,-34.0,-54,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,-390.527686305,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0018,HOT_TO_COLD,MIL_STD_1540_REFERENCE_QUALIFICATION_TEST,ASSUMPTION_REFERENCE_BAND_MIL_STD_1540_BEYOND_GEVS,71.0,-34.0,105,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,759.359390037,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Hot-to-cold end-state excursion (T_hot-T_cold); linear model makes the swing reference-temperature independent. Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0019,HOT,GEVS_TYP_MAX_PREDICTED_FLIGHT,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,45.0,-5.0,25,M3R_B601_JOINT,preload_drift_N,BOLT_CRES304__MEMBER_AL6061,160.428040149,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model inside/near source interval; candidate CTEs, not allowables. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0020,COLD,GEVS_TYP_MAX_PREDICTED_FLIGHT,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,45.0,-5.0,-25,M3R_B601_JOINT,preload_drift_N,BOLT_CRES304__MEMBER_AL6061,-160.428040149,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0021,HOT_TO_COLD,GEVS_TYP_MAX_PREDICTED_FLIGHT,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,45.0,-5.0,50,M3R_B601_JOINT,preload_drift_N,BOLT_CRES304__MEMBER_AL6061,320.856080298,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Hot-to-cold end-state excursion (T_hot-T_cold); linear model makes the swing reference-temperature independent. Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0022,HOT,GEVS_TYP_OPERATIONAL,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,50.0,-10.0,30,M3R_B601_JOINT,preload_drift_N,BOLT_CRES304__MEMBER_AL6061,192.513648179,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model inside/near source interval; candidate CTEs, not allowables. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0023,COLD,GEVS_TYP_OPERATIONAL,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,50.0,-10.0,-30,M3R_B601_JOINT,preload_drift_N,BOLT_CRES304__MEMBER_AL6061,-192.513648179,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0024,HOT_TO_COLD,GEVS_TYP_OPERATIONAL,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,50.0,-10.0,60,M3R_B601_JOINT,preload_drift_N,BOLT_CRES304__MEMBER_AL6061,385.027296357,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Hot-to-cold end-state excursion (T_hot-T_cold); linear model makes the swing reference-temperature independent. Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0025,HOT,GEVS_TYP_ACCEPTANCE_TEST,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,55.0,-15.0,35,M3R_B601_JOINT,preload_drift_N,BOLT_CRES304__MEMBER_AL6061,224.599256208,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model inside/near source interval; candidate CTEs, not allowables. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0026,COLD,GEVS_TYP_ACCEPTANCE_TEST,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,55.0,-15.0,-35,M3R_B601_JOINT,preload_drift_N,BOLT_CRES304__MEMBER_AL6061,-224.599256208,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0027,HOT_TO_COLD,GEVS_TYP_ACCEPTANCE_TEST,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,55.0,-15.0,70,M3R_B601_JOINT,preload_drift_N,BOLT_CRES304__MEMBER_AL6061,449.198512417,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Hot-to-cold end-state excursion (T_hot-T_cold); linear model makes the swing reference-temperature independent. Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0028,HOT,GEVS_TYP_PROTOFLIGHT_TEST,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,60.0,-20.0,40,M3R_B601_JOINT,preload_drift_N,BOLT_CRES304__MEMBER_AL6061,256.684864238,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model inside/near source interval; candidate CTEs, not allowables. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0029,COLD,GEVS_TYP_PROTOFLIGHT_TEST,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,60.0,-20.0,-40,M3R_B601_JOINT,preload_drift_N,BOLT_CRES304__MEMBER_AL6061,-256.684864238,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0030,HOT_TO_COLD,GEVS_TYP_PROTOFLIGHT_TEST,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,60.0,-20.0,80,M3R_B601_JOINT,preload_drift_N,BOLT_CRES304__MEMBER_AL6061,513.369728476,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Hot-to-cold end-state excursion (T_hot-T_cold); linear model makes the swing reference-temperature independent. Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0031,HOT,MIL_STD_1540_REFERENCE_PROTOQUALIFICATION_TEST,ASSUMPTION_REFERENCE_BAND_MIL_STD_1540_BEYOND_GEVS,66.0,-29.0,46,M3R_B601_JOINT,preload_drift_N,BOLT_CRES304__MEMBER_AL6061,295.187593874,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model inside/near source interval; candidate CTEs, not allowables. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0032,COLD,MIL_STD_1540_REFERENCE_PROTOQUALIFICATION_TEST,ASSUMPTION_REFERENCE_BAND_MIL_STD_1540_BEYOND_GEVS,66.0,-29.0,-49,M3R_B601_JOINT,preload_drift_N,BOLT_CRES304__MEMBER_AL6061,-314.438958692,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
