requirement_id,requirement,verification_method,evidence,current_status,release_effect,next_closure
M4-REQ-020,Exactly nine required configurations shall exist with mass cg inertia bbox frames collision confidence and status,Schema validation,03_mass_properties/CONFIGURATION_LIBRARY_V1.yaml,PASS_9_OF_9,Configuration library working,None
M4-REQ-021,Unknown released mass center of mass inertia bbox transforms and uncertainties shall remain null plus HOLD,Schema and zero-fill audit,03_mass_properties/M4_MASS_MATERIAL_TOLERANCE_MECHANISM_AUDIT_V1.json,PASS_FAIL_CLOSED,System property release HOLD,Controlled mass-property campaign
M4-REQ-022,Diagnostic mass values shall be separated from released authority,Equation and classification audit,03_mass_properties/SYSTEM_MASS_PROPERTIES_V3.yaml,PASS_DIAGNOSTIC_ONLY,Bounded diagnostics only,Close legacy flange ownership and complete installed component set
M4-REQ-030,Prototype material properties shall not be called approved allowables,Material release-count audit,04_material_database/PROTOTYPE_MATERIAL_LIBRARY_V1.yaml,PASS_CANDIDATE_ONLY,Formal FEA HOLD,Select exact specs product forms processes environment and allowables
M4-REQ-031,Priority tolerance chains shall define equations unknown inputs and closure measurements,Tolerance package inspection,05_tolerance/TOLERANCE_CLOSURE_EXECUTION_PLAN_V1.yaml,PASS_PLAN_HOLD_INPUTS,Drawing and fit release HOLD,Release datums limits measurement uncertainty and decision rules
M4-REQ-032,Gripper hinge HDRM locator and target-interface mechanisms shall carry explicit physical gates,Mechanism register inspection,06_mechanism/MECHANISM_STATUS_REGISTER_V1.yaml,PASS_FAIL_CLOSED,Physical mechanism release HOLD,Execute MVR-001 through MVR-020 after requirements close
M4-REQ-040,Formal FEA shall not execute before every structural-entry subgate passes,Gate inspection,07_structural_model/STRUCTURAL_ANALYSIS_ENTRY_GATE.json,PASS_ZERO_FEA_RUNS,Structural entry HOLD,Close loads BC contact fasteners allowables mass mesh and criteria
M4-REQ-050,MECH_RL V2 shall hash-bind all required M4 assets including the cross-domain audit,Runtime interface loader,08_simulation_assets/MECH_RL_INTERFACE_V2.yaml,PASS_14_OF_14,Dynamics bridge,None
M4-REQ-051,Unknown or failed runtime gates shall mask non-abort actions,Automated tests,30_simulation/sim_14_m4_digital_prototype_grasping/tests/test_sim14.py,PASS_25_TEST_SUITE,Fail-closed safety,None
M4-REQ-052,The ideal rigid-lock diagnostic kernel shall conserve linear and angular momentum,Automated anchor tests,30_simulation/sim_14_m4_digital_prototype_grasping/evidence/SIM14_DYNAMICS_GRASPING_GATE.json,PASS_DIAGNOSTIC_ONLY,Bounded diagnostic dynamics,None
M4-REQ-053,The grasp event chain shall enforce legal transitions and abort illegal transitions,Automated state-machine tests,30_simulation/sim_14_m4_digital_prototype_grasping/tests/test_sim14.py,PASS_DIAGNOSTIC_ONLY,Bounded diagnostic grasp logic,None
M4-REQ-054,Contact force flexible-body trained-RL HIL and flight claims shall remain prohibited,Interface and observation audit,08_simulation_assets/MECH_RL_INTERFACE_V2.yaml,PASS_FAIL_CLOSED,Production contact RL HOLD,Close physical authorities before model promotion
M4-REQ-055,The Sim14 loader shall recompute every artifact hash embedded in the mass-material-tolerance-mechanism audit,Runtime nested-hash audit,03_mass_properties/M4_MASS_MATERIAL_TOLERANCE_MECHANISM_AUDIT_V1.json;30_simulation/sim_14_m4_digital_prototype_grasping/src/interface_loader.py,PASS_13_OF_13_NESTED_HASHES,Dynamics evidence integrity,None
M4-REQ-060,Prototype drawing index and non-procurement BOM shall be delivered,Artifact and scope audit,09_drawings/DIGITAL_PROTOTYPE_DRAWING_INDEX_V1.csv;10_BOM/DIGITAL_PROTOTYPE_BOM_V1.csv,PASS_PROTOTYPE_ONLY,Design communication,None
M4-REQ-070,Independent validation and final release tokens shall be issued separately,Independent validator,11_validation/M4_INDEPENDENT_VALIDATION_RECEIPT_V1.json;12_release/MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_GATE_V1.json,PASS_34_OF_34_SCOPED_TOKENS_ISSUED,Loop closure,None
