wire_id,net,from_device,from_pin,to_device,to_pin,wire_or_mate,pin_view,design_status,source,cut_length_mm,physical_status,build_approved
A12,BRAKE-,U1,R-,RB1,B,supplied resistor leads,NAMED_TERMINALS; no inferred cavity numbering,PIN_DESIGN_PULSE_THERMAL_OPEN,REGEN,,NOT_EXECUTED,False
C01,DM_CANH,CAN,H,SEP,H,OEM GH1.25 two-pin lead,NAMED_TERMINALS; no inferred cavity numbering,BOTH_CAVITIES_OPEN,DM_PUBLIC,,NOT_EXECUTED,False
C02,DM_CANL,CAN,L,SEP,L,OEM GH1.25 two-pin lead,NAMED_TERMINALS; no inferred cavity numbering,BOTH_CAVITIES_OPEN,DM_PUBLIC,,NOT_EXECUTED,False
C03,DM_CANH,SEP,H,DM,CANH_REF,OEM XT302+2 signal pair,NAMED_TERMINALS; no inferred cavity numbering,V4_PIN_OPEN,DM_PUBLIC;DM_2023,,NOT_EXECUTED,False
C04,DM_CANL,SEP,L,DM,CANL_REF,OEM XT302+2 signal pair,NAMED_TERMINALS; no inferred cavity numbering,V4_PIN_OPEN,DM_PUBLIC;DM_2023,,NOT_EXECUTED,False
L01,OBC_3V3,PDU,TFM.9,OBC,P1.2,Samtec SFSD-15-28-G-10.00-S -> Molex510210400 +500798000; wire/insulation crimp fit pending,"PDU TFM key adjacent pin30; identify9/10 from DS2.6 mating-face drawing. OBC P1 header view DS2.0 p7; cable wiring-face is mirrored, match cavity marks",FUNCTIONAL_PIN_MAP_COMPLETE; VOLTAGE_PROTECTION_CRIMP_OPEN,PDU;PDU_OPTION;A3200;SFSD;MOLEX,,NOT_EXECUTED,False
L02,EPS_RET,PDU,TFM.10,OBC,P1.1,Samtec SFSD-15-28-G-10.00-S -> Molex510210400 +500798000; wire/insulation crimp fit pending,"PDU TFM key adjacent pin30; identify9/10 from DS2.6 mating-face drawing. OBC P1 header view DS2.0 p7; cable wiring-face is mirrored, match cavity marks",FUNCTIONAL_PIN_MAP_COMPLETE; RETURN_INCLUDED,PDU;A3200;SFSD;MOLEX,,NOT_EXECUTED,False
S01,RS_LOOP_1,RS_A,orange,RS_B,yellow,Two original FTDI wire-ended cables; insulated labelled splice S1,"Color names are wire identity, not connector cavities; self-defined ground test link",SIGNAL_MAP_COMPLETE; RECEIVER_TERMINATION_REVISION_OPEN,FTDI,,NOT_EXECUTED,False
S02,RS_LOOP_2,RS_A,red,RS_B,white,Two original FTDI wire-ended cables; insulated labelled splice S2,"Color names are wire identity, not connector cavities; self-defined ground test link",SIGNAL_MAP_COMPLETE; RECEIVER_TERMINATION_REVISION_OPEN,FTDI,,NOT_EXECUTED,False
S03,RS_LOOP_3,RS_A,yellow,RS_B,orange,Two original FTDI wire-ended cables; insulated labelled splice S3,"Color names are wire identity, not connector cavities; self-defined ground test link",SIGNAL_MAP_COMPLETE; RECEIVER_TERMINATION_REVISION_OPEN,FTDI,,NOT_EXECUTED,False
S04,RS_LOOP_4,RS_A,white,RS_B,red,Two original FTDI wire-ended cables; insulated labelled splice S4,"Color names are wire identity, not connector cavities; self-defined ground test link",SIGNAL_MAP_COMPLETE; RECEIVER_TERMINATION_REVISION_OPEN,FTDI,,NOT_EXECUTED,False
S05,RS_LOOP_5,RS_A,black,RS_B,black,Two original FTDI wire-ended cables; insulated labelled splice S5,"Color names are wire identity, not connector cavities; self-defined ground test link",SIGNAL_MAP_COMPLETE; RECEIVER_TERMINATION_REVISION_OPEN,FTDI,,NOT_EXECUTED,False
