# 06_CLAIM_EVIDENCE_MATRIX (SYN-B, 2026-08-27, read-only synthesis)
# claim_class 词表: CORE(五类核心主张+支撑性物理证据行) / BASELINE_ONLY(仅 baseline/工具层引用) / FORBIDDEN_NOW(当前禁止主张) / BOUNDARY_PRIOR_ART(红线 prior-art 边界行)
# 纪律: 引用数字勿改; 检索截止 2026-07-18 + 2026-08-23 补检(见各 boundary 行); 子 PASS 不升级父 Gate; UNKNOWN≠EXECUTE; source-only≠current-system; 模块 PASS≠执行授权
claim_id,claim_text_zh,claim_class,evidence_path,row_locator,sha256_12,domain_of_validity,limitations,status
B2,zero-relative-velocity capture(零相对速度/理想冲量捕获模型),BASELINE_ONLY,30_simulation/sim_06_capture_impulse/results/capture_impulse_matrix_v0.csv + 30_simulation/sim_11_coupled_dynamics/results/sim_11_gate_check.json,"sim_06 CSV 第 15 行(理想冲量模型, eps_H=3.84985e-16); sim_11 gate $.gates.G4 ideal_impulse_diagnostic(理想冲量 Δt=0 对模态能不适定为模型域边界诊断)",8cbad84b8ff6 ; 9309f5325271,刚体矢量冲量基线模型,"捕获≠消旋(碎片@3°/s 捕获后 3.0633°/s); CSV 仅 6 位有效数字, 精确值以 sim_10 求解器为准",BASELINE_ONLY
B3,"momentum prebias(动量预置, sim_12 S3a 候选策略)",BASELINE_ONLY,30_simulation/sim_12_strategy_feasibility/results/sim_12_gate_check.json + 30_simulation/sim_12_strategy_feasibility/docs/strategy_comparison_report.md + 01_project/competition/文献查新裁决_claim边界_20260823.md,"gate $.gates.GS2 C_transition→S3a_wheel_bias; strategy_comparison_report.md L13/L20(省 13×: 3.0 g vs ~40 g, 有效域 θ<60°); 查新裁决 §2 表 row1 末列(S3a=C1 Dimitrov 2004 祖先线, 禁止包装成新抓捕方法)",a416c1348111 ; 5bb7c6a71677 ; 3be39f02c15a,候选策略类+定量研究问题(轮组容量 8% 下预置量换可行域边界改善),禁止包装成「新抓捕方法」; Wang 2026 已推进到双臂地面实验(数字未核验禁引用),BASELINE_ONLY
B4,DRL 轨迹规划(深度强化学习路径/轨迹规划),BASELINE_ONLY,01_project/competition/文献查新裁决_claim边界_20260823.md,§1 表 row3/row6 + §2 表(Ma 2026 视觉+RL 纯仿真; AA 246:734-744 RL detumbling),3be39f02c15a,仅作 baseline/相关工位引用,禁作核心创新; 仓内无 DRL 实现(FINAL_RL_VLA_TRAINING=DEFER),BASELINE_ONLY
B5,visual servoing(视觉伺服),BASELINE_ONLY,01_project/competition/文献查新裁决_claim边界_20260823.md + 20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/SYSTEM_FRAME_TREE.yaml,查新裁决 §1/§2 row3(Ma 2026 perception-informed 控制层); SYSTEM_FRAME_TREE.yaml L87-L90 camera_optical_frame transform=TBD status=HOLD_CAMERA_SELECTION_AND_CALIBRATION,3be39f02c15a ; 71a9fffaa30a,文献层 baseline 引用,"仓内无相机系/无感知前端(committed frame_tree_v1.yaml 零相机系, 958bff23bf83); 禁作系统能力声称",BASELINE_ONLY
B6,VLA 自主控制(视觉-语言-动作端到端控制),BASELINE_ONLY,10_research/vla/vla_generalization_plan.md + .codex/AGENTS.md + 01_project/competition/文献查新裁决_claim边界_20260823.md,vla_generalization_plan.md L3 PROTOCOL_DRAFT(未实现/未采数/未训练); .codex/AGENTS.md 红线禁止端到端 VLA 控制(embodied fragment §6 三层一致); 查新裁决 §2 row3,169cb1f05b33 ; af8f80d70b3e ; 3be39f02c15a,协议设计/文献层引用,"VLA 无直接力矩权限(candidate_bundle.schema 结构性排除, 2184bc6a3e61); 任何「已实现 VLA 闭环」为禁止主张(prototype_acceptance.yaml forbidden_claims, 8214139674a9)",BASELINE_ONLY
B7,实时数字孪生(real-time digital twin),BASELINE_ONLY,10_research/00_project_architecture/digital_twin_plan.md + 10_research/framework_convergence/numerical_twin_status.md,"digital_twin_plan.md L7-L13(当前最高允许 DT2_SCOPE_LIMITED_OFFLINE_REPLAY) + L21-L29(DT3/DT4=BLOCKED); numerical_twin_status.md L5/L24-26(DT2 局部, 不覆盖 sim10-12/SAFE/CTRL/Wave1/ASM)",64e88a4db0c6 ; bf783ca9dd8b,仅「确定性离线 DT2 证据回放」口径可写,无实时遥测/统一时钟/在线估计; 引用须注明 command_emitted=false; DT3/DT4 未启动,BASELINE_ONLY
B8,一般非合作捕获(general non-cooperative capture 能力声称),BASELINE_ONLY,01_project/competition/文献查新裁决_claim边界_20260823.md + 30_simulation/e15_core_coverage/results/core_gate_check.json,查新裁决 §3 绿线边界(本项目 claim 限特定工况可行域/判据); e15_core $.scientific_verdict=REPEAT_CORE_NO_SAFE_CANDIDATE(72 例 0 SAFE: 66 几何不可达+6 捕获后超限),3be39f02c15a ; 761798e52ead,一般性文献背景,本项目不作一般非合作捕获能力声称; SAFE=0 为冻结输入事实,BASELINE_ONLY
B9,在轨装配验证(on-orbit assembly 实证),BASELINE_ONLY,10_research/research_state_v4.md + 10_research/on_orbit_assembly/master_plan.md,"research_state_v4.md L14-16(Wave A 在 HAG-A 前 PLANNED_NOT_AUTHORIZED, 受 RF-1/2/3, FFR/AG4, W1-R12/R13 阻塞); master_plan.md 最终裁决段 L9-17(READY_WITH_INTERFACE_BLOCKERS; RF-1 锥面聚拢 2.14 mm<5 mm 几何不自洽等)",1bd051d86368 ; dea2436daa5e,路线图/future work 级,ASM-01/02 未实施; 比赛主线按 AR7 不依赖 Wave A; 禁进主叙事/标题,BASELINE_ONLY
F1,机械正式 Release(MECHANICAL_ENGINEERING_RELEASE 成立/放行),FORBIDDEN_NOW,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/00_RELEASE_GATE.json,$.verdict=TERMINAL_CLOSURE_EXECUTED__GATE_A_NOT_PASSED__TMG4_TM6_INTERNAL_BLOCKERS_REGISTERED__NO_RELEASE_CREDIT + $.gate_a_pass=false + $.review_status=PENDING_OWNER_REVIEW + $.next_stage_authorized=false + $.release_credit=false,14d30fd40ac6,无(全域禁止),"TMG-4 HOLD(E_HRN 0/75 SAFE, a63a93de5b6b)+TMG-6 FAIL_15_OF_20(父 Gate 冻结); 2026-08-26 V9F 终局未改写该 Gate(09611ddb8adc)",FORBIDDEN_NOW
F2,真实抓取闭环(硬件/真实夹爪 closed-loop 捕获已验证),FORBIDDEN_NOW,30_simulation/r2_control_engineering_closure/results/R2_CONTROL_ENGINEERING_GATE_V1.json + 01_project/competition/R2动力学与控制工程闭环阶段裁决_20260827.md + 30_simulation/sim_13_physics_gated_embodied_grasping/v4_synthetic_contact_capture_diagnostic/,"R2 控制 Gate $.execution_guards 六项全 false(行65-71); 父裁决 §3 行98(执行器 152/152 实测字段全 null, 零填充禁止); sim13 fragment Q4(v4 链证明边界=合成诊断+一次已注册失败 B4G, SIM13_V4B4G_EXECUTION_INVALIDATED_V1.json sha256_12=2743fbd314cc)",2740b33e7958 ; 3eed50dd728e ; 2743fbd314cc,无(全域禁止),全部闭环证据为 sim_11 仿真 plant 或合成接触诊断; synthetic contact≠真实夹爪验证; T4 接触合同 AS_BUILT=null MEASUREMENT_PENDING(20f3aa89a07d),FORBIDDEN_NOW
F3,当前系统 non-ABORT 运行(任何非 ABORT 抓取/生产执行),FORBIDDEN_NOW,30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_20_OF_20_GATE_V1.json + 30_simulation/r2_dynamics_control_system_closure/results/R2_DYNAMICS_CONTROL_SYSTEM_GATE_V1.json + 20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/15_UNIFIED_R2_SYSTEM_INTERFACE.yaml,20/20 gate $.maximum_operational_state=ABORT_ONLY_WITH_VALIDATED_FAIL_CLOSED_BACKENDS_20_OF_20_NC__PRODUCTION_NON_ABORT_STILL_MASKED_BY_12_GATE_AUTHORITY + $.next_stage_authorized=false; 联合 gate $.conditions sim13_non_abort_operation_authorized=false; 接口 L144-148 failure_state_registry UNKNOWN=NEVER_PASS→ABORT_ONLY,4a813f2ee3b0 ; 55490805d934 ; 19822080e540,无(全域禁止),"UNKNOWN→ABORT(fail-closed); 答辩演示若声称非 ABORT 抓取执行或真实接触捕获即越权(BLK-SIM13-08, P1)",FORBIDDEN_NOW
F4,硬件有效稳定性(hardware-valid stability/瞬态性能),FORBIDDEN_NOW,30_simulation/control_02_base_attitude/results/control_02_gate_check.json + 01_project/competition/R2动力学与控制工程闭环阶段裁决_20260827.md,"CTRL-02 gate $.stage_B_scope.L0_stability_status=NOT_EVALUATED_NO_ACTUATOR_DYNAMICS(行1093) + $.gates.GC7.criterion.status=PROVISIONAL(R5 占位); 父裁决 §3 行98(执行器实测全 null); W1-R13 量子残差=门槛 21.5% 硬件触发项(wave1_gate_check.json 行286, ef49240d9047)",240fa708b536 ; 3eed50dd728e,无(全域禁止),7/16 STABILIZED 仅在 R5 PROVISIONAL 执行器/时窗模型下; 硬件最小脉宽增大 ~4.6× 则 Stage-B 裁决翻转,FORBIDDEN_NOW
F5,飞行级资格(flight qualification/飞行级声明),FORBIDDEN_NOW,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/19_OPEN_QUALIFICATION_HOLDS.csv,"rows HOLD-01..HOLD-16(发射/分离 ICD, 飞行材料许用值, 资格振动, TVAC, 飞行 HDRM 可靠性, as-built 计量等 13 项 EXTERNAL)",29ee63d5e723,无(全域禁止),全部资格类证据缺席; 比赛不依赖(BLK-MECH-16),FORBIDDEN_NOW
R-WANG2026,红线 prior-art 边界: Wang 2026 momentum feedforward compensation(Acta Astronautica 245:1035-1054),BOUNDARY_PRIOR_ART,01_project/competition/文献查新裁决_claim边界_20260823.md,"§1 表 row1 + §2 表 row1(DOI 题录核验通过; 实验数字 50 次/96%/94% 未核验, 引用前必须读原文; 阅读卡须 09-01 前完成)",3be39f02c15a,禁作核心创新; 只可作 baseline/工具层引用,"实验数字未核验一律不引用; 检索截止 2026-07-18, 08-23 补检结论不变(sim12_literature_closure.md §G, 67ea28a65be4)",BOUNDARY_ENFORCED
R-LU2026,红线 prior-art 边界: Lu 2026 结构-接触-任务一体化仿真框架(AST 177:112197),BOUNDARY_PRIOR_ART,01_project/competition/文献查新裁决_claim边界_20260823.md,§1 表 row2 + §2 表 row2 + §4.2(「首次结构–接触–任务一体化框架」类声称禁用; 摘要级方法描述未核验),3be39f02c15a,Paper 1 须坚持 feasibility/decision paper 定位,精读+引言对位未完成; 检索截止 2026-07-18+08-23 补检,BOUNDARY_ENFORCED
R-MA2026,"红线 prior-art 边界: Ma 2026 多模态视觉+RL 自主抓取(Sci Rep, doi:10.1038/s41598-026-64925-7, OA 纯仿真)",BOUNDARY_PRIOR_ART,01_project/competition/文献查新裁决_claim边界_20260823.md,"§1 表 row3(全文页已读: perception-informed RL-ISC, 纯仿真) + §2 表 row3(禁用为具身智能论文一号贡献)",3be39f02c15a,合法差异=决策层(physics verifier+fail-closed)而非视觉+RL 控制层,无(全文已读); 检索截止 2026-07-18+08-23 补检,BOUNDARY_ENFORCED
R-CAI2026,"红线 prior-art 边界: Cai 2026 data-driven post-capture robust MPC(Astrodynamics, doi:10.1007/s42064-026-0322-8)",BOUNDARY_PRIOR_ART,01_project/competition/文献查新裁决_claim边界_20260823.md,§1 表 row4 + §2 表 row4 + §4.3(Cai 组 2023 起系统性占位此线; data-driven post-capture 方向整体放弃作创新),3be39f02c15a,转 pre-capture feasibility constraint 表述,"摘要级无全文, 引用以摘要为限; 检索截止 2026-07-18+08-23 补检",BOUNDARY_ENFORCED
R-MAO2026,红线 prior-art 边界: Mao 2026 Koopman/model-free FFSR 控制(FITEE 27(7):1-14),BOUNDARY_PRIOR_ART,01_project/competition/文献查新裁决_claim边界_20260823.md,§1 表 row5 + §2 表 row5(DOI 题录核验通过; 只作工具层/比较基线),3be39f02c15a,控制层实现工具层引用,全文方法细节未核; 检索截止 2026-07-18+08-23 补检,BOUNDARY_ENFORCED
R-AA246,"红线 prior-art 边界: RL detumbling under inertia uncertainties(Acta Astronautica 246:734-744, 2026-09, doi:10.1016/j.actaastro.2026.04.022)",BOUNDARY_PRIOR_ART,01_project/competition/文献查新裁决_claim边界_20260823.md,§1 表 row6 + §5.2(Crossref 题录 2026-08-23 核验通过; 未知惯量自适应/学习消旋不作核心 novelty),3be39f02c15a,不作核心 novelty,全文内容未核; 检索截止 2026-07-18+08-23 补检,BOUNDARY_ENFORCED
