root_b_asset,upstream,root_a_runtime_reference,root_a_doc_or_paper_reference,usage_class,root_a_vendor_duplicate,notes
REFLIB2_03 repos/basilisk,https://github.com/AVSLab/basilisk,NONE,crosswalk/TOP_12: sandbox benchmark candidate (frozen in window),pure_reference,"YES - 80_third_party/vendor/basilisk @ 6b9c222f (2026-07-19) vs ROOT B recorded 27eb48a2 (2026-08-03): DIVERGENT COMMITS of same upstream",version skew - PL1-G must pick reference of record [HOLD-2]
REFLIB2_04 repos/astrobee,https://github.com/nasa/astrobee,NONE,crosswalk: SAFE-00 architecture contrast,pure_reference,"YES - 80_third_party/vendor/astrobee @ bf43a42d (SAME commit; .git present; gitignored)",exact duplicate
REFLIB2_04 repos/isaac,https://github.com/nasa/isaac,NONE,crosswalk: task-planning architecture reference,pure_reference,NO,
REFLIB2_04 repos/int-ball2_simulator,https://github.com/jaxa/int-ball2_simulator,NONE,TOP_12 verdict REJECT,pure_reference,NO,EOL stack (Melodic)
REFLIB2_04 repos/int-ball2_isaac_sim,https://github.com/sd-robotics/int-ball2_isaac_sim,NONE,post-competition,pure_reference,NO,
REFLIB2_04 repos/space-ros,https://github.com/space-ros/space-ros,NONE,TOP_12 verdict REJECT (no LICENSE),pure_reference,NO,license UNKNOWN [HOLD]
REFLIB2_04 repos/freecad.robotcad,https://github.com/drfenixion/freecad.robotcad,NONE,TOP_12/crosswalk: environmental hazard - never install into pinned FreeCAD,pure_reference,NO,highest-risk item; LGPL
REFLIB2_04 repos/FreeCAD_Assembly4.1,https://github.com/leoheck/FreeCAD_Assembly4.1,NONE,crosswalk: LCS assembly ideas read-only,pure_reference,NO,LGPL; do not install
REFLIB2_05 repos/speedplusbaseline,https://github.com/tpark94/speedplusbaseline,NONE,crosswalk: related-work citation only (dataset never downloaded),pure_reference (paper),NO,
REFLIB2_06 repos/ANCF_beam,https://github.com/rserban/ANCF_beam,NONE,TOP_12: not applicable to plate/shell sail,pure_reference,NO,no LICENSE [HOLD]
REFLIB2_06 repos/chrono (ABSENT),https://github.com/projectchrono/chrono,NONE,REJECT/NOT_USABLE_OFFLINE (clone failed in ROOT B),not_present,"INVERTED LOCATION: the only real clone is 80_third_party/vendor/chrono @ 24c78cf8 (2026-07-18, clean worktree; BSD-3-Clause verified) - INSIDE ROOT A, not ROOT B",location/index ambiguity [HOLD-3]; no license HOLD
(ROOT A external) 80_third_party/external/spacecraft_layout_refs/spacerobotenv/SpaceRobotEnv,https://github.com/Tsinghua-Space-Robot-Learning-Group/SpaceRobotEnv,NONE (reference checkout; no project import/adapter/runtime),50_literature/references/manifest.yaml lines 1230-1237 + PL1-C M9 reference,V1/V4 method/reference_only,"YES - identical clean tree under F:/Robotic arm/High_performance_robotics_arm/external/spacecraft_layout_refs/spacerobotenv/SpaceRobotEnv @ 155989c2",migrate/index to ROOT B only after manifest local_path update; not B601 authority
REFLIB2_00_manifest / 08_crosswalk / 09_adversarial / 3 report .md,locally authored,NONE,"governance layer; cited by PROJECT_START_HERE.md indirectly via library pointer",pure_reference (governance),NO,
REFLIB1__root_ (REFERENCE_INDEX.json etc.),locally authored,NONE,library index + license notes,pure_reference (governance),NO,oresat license entry outdated (says UNKNOWN; actually CERN-OHL-S-v2)
REFLIB1__tools + 00_manifest/tools,locally authored,NONE,ingestion scripts provenance,pure_reference,NO,
(ROOT A only) 80_third_party/vendor/openpi,https://github.com/Physical-Intelligence/openpi,gitignored vendor clone @ 15a9616a,VLA lane (M8) reference,vendor_only_in_root_a,NO ROOT B COUNTERPART,not part of ROOT B register
(ROOT A only) 80_third_party/vendor/openvla,https://github.com/openvla/openvla,gitignored vendor clone @ c8f03f48,VLA lane (M8) reference,vendor_only_in_root_a,NO ROOT B COUNTERPART,not part of ROOT B register
(ROOT A only) 80_third_party/vendor/reBot-DevArm,https://github.com/Seeed-Projects/reBot-DevArm,"RUNTIME: 20_engineering/config/geometry/arm_b601_v1.yaml:10 hardware_step -> 80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/reBot_B601_DM_v1.1_20260425.step (repo-relative, CM3-fixed)",gripper hardware donor (CERN-OHL-W-v2),vendor_only_in_root_a,"Duplicates F:/Robotic arm/High_performance_robotics_arm/vendor/reBot-DevArm @ 71a1a6e6 (that one has .git; ROOT A copy does not)",inside ROOT A = allowed; NOT a ROOT B runtime dependency
(external) F:/Robotic arm/High_performance_robotics_arm,NONE (local-only git @ 2d769d71),NONE,historical URDF/CAD donor lineage; root in HOLD per CM,donor_external,NO,license UNKNOWN [HOLD]
(external) F:/Robotic arm/zero-robotic-arm,https://gitee.com/dearxie/zero-robotic-arm.git,NONE,"F:/Robotic arm/zero-robotic-arm/5. Deep_LR (Gymnasium/MuJoCo/Stable-Baselines3 TD3 fixed-base 6R teaching case) + 3. Simulink",teaching_external,NO,"GPL-2.0; no SEI role; HEAD c16b4be639d1619073dfe629cf37750dfc1d7c54; Deep_LR 14 tracked clean files; parent worktree 26 porcelain entries (1 staged add, 24 modified CAD/BOM, 1 untracked CAD)"
(external) F:/Robotic arm/High_performance_robotics_arm/vendor/reBotArmController_ROS2,https://github.com/Seeed-Projects/reBotArmController_ROS2.git,NONE,archived HIL route mentions the external ROS2 side,donor_external,NO ROOT B PHYSICAL COPY,"metadata pointer installed; license UNKNOWN [HOLD]; upstream commit 319100d3ebb529d43c5a874fa92104fa1062493f"
(external) F:/Project/Pendulum-DDPG,https://github.com/vehiclewaxberry/Pendulum-DDPG.git,NONE,none found,teaching_external,NO,license unverified [HOLD]
