work_package,part_number,quantity,material,volume_mm3,provisional_mass_g,release_scope,status,holds
M-FINAL-03,V4_G08_PRIMARY_SUPPORT,1,AL7075-T6,34813.522976,97.826,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,NEUTRAL_GEOMETRY_BUILT,EXACT_NATIVE_FOOT_HOLE_COORDINATE_MEASUREMENT_HOLD;PAD_PRELOAD_BENCH_CALIBRATION_HOLD;NATIVE_STOW_CONTACT_AND_INTERFERENCE_HOLD;STRUCTURAL_LOAD_CASE_HOLD
M-FINAL-03,V4_G08_PAD_CARRIER,1,AL6061-T6,4624.0,12.4848,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,NEUTRAL_GEOMETRY_BUILT,EXACT_NATIVE_FOOT_HOLE_COORDINATE_MEASUREMENT_HOLD;PAD_PRELOAD_BENCH_CALIBRATION_HOLD;NATIVE_STOW_CONTACT_AND_INTERFERENCE_HOLD;STRUCTURAL_LOAD_CASE_HOLD
M-FINAL-03,V4_G08_CONTACT_PAD,1,VMQ-60A,1800.0,2.25,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,NEUTRAL_GEOMETRY_BUILT,EXACT_NATIVE_FOOT_HOLE_COORDINATE_MEASUREMENT_HOLD;PAD_PRELOAD_BENCH_CALIBRATION_HOLD;NATIVE_STOW_CONTACT_AND_INTERFERENCE_HOLD;STRUCTURAL_LOAD_CASE_HOLD
M-FINAL-03,V4_MID_BACKUP_SUPPORT,1,AL7075-T6,35938.856124,100.988186,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,NEUTRAL_GEOMETRY_BUILT,EXACT_NATIVE_FOOT_HOLE_COORDINATE_MEASUREMENT_HOLD;PAD_PRELOAD_BENCH_CALIBRATION_HOLD;NATIVE_STOW_CONTACT_AND_INTERFERENCE_HOLD;STRUCTURAL_LOAD_CASE_HOLD
M-FINAL-03,V4_MID_PAD_CARRIER,1,AL6061-T6,4679.76,12.635352,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,NEUTRAL_GEOMETRY_BUILT,EXACT_NATIVE_FOOT_HOLE_COORDINATE_MEASUREMENT_HOLD;PAD_PRELOAD_BENCH_CALIBRATION_HOLD;NATIVE_STOW_CONTACT_AND_INTERFERENCE_HOLD;STRUCTURAL_LOAD_CASE_HOLD
M-FINAL-03,V4_MID_CONTACT_PAD,1,VESPEL-SP1,2700.0,3.861,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,NEUTRAL_GEOMETRY_BUILT,EXACT_NATIVE_FOOT_HOLE_COORDINATE_MEASUREMENT_HOLD;PAD_PRELOAD_BENCH_CALIBRATION_HOLD;NATIVE_STOW_CONTACT_AND_INTERFERENCE_HOLD;STRUCTURAL_LOAD_CASE_HOLD
M-FINAL-04,V4_ARM_HDRM_RELEASE_SWEEP_KEEP_OUT,1,NON_PHYSICAL,294768.0,,COMPETITION_HDRM_FUNCTIONAL_SKELETON_ONLY,NEUTRAL_GEOMETRY_BUILT,ELECTROMAGNET_PRODUCT_SELECTION_HOLD;FLANGE_CLOCKING_AND_DOWEL_COORDINATE_HOLD;MATING_RESTRAINT_BREP_HOLD;FORCE_CURRENT_THERMAL_AND_RELEASE_TEST_HOLD;NATIVE_RELEASED_FAILED_CONFIGURATION_HOLD
M-FINAL-04,V4_ARM_HDRM_60MM_FLANGE_SKELETON,1,NON_PHYSICAL,36000.0,,COMPETITION_HDRM_FUNCTIONAL_SKELETON_ONLY,NEUTRAL_GEOMETRY_BUILT,ELECTROMAGNET_PRODUCT_SELECTION_HOLD;FLANGE_CLOCKING_AND_DOWEL_COORDINATE_HOLD;MATING_RESTRAINT_BREP_HOLD;FORCE_CURRENT_THERMAL_AND_RELEASE_TEST_HOLD;NATIVE_RELEASED_FAILED_CONFIGURATION_HOLD
M-FINAL-05,V4_CAMERA_SELECTION_KEEP_OUT_LINK6,1,NON_PHYSICAL,35360.0,,PACKAGING_AND_COLLISION_ENVELOPE_ONLY,NEUTRAL_GEOMETRY_BUILT,CAMERA_MODEL_SELECTION_HOLD;CAMERA_OPTICAL_CALIBRATION_HOLD;CONNECTOR_AND_CLAMP_GEOMETRY_HOLD;MOVING_HARNESS_SWEEP_HOLD
M-FINAL-05,V4_HARNESS_STATIC_ROUTE_OD9_KEEP_OUT,1,NON_PHYSICAL,5646.375927,,PACKAGING_AND_COLLISION_ENVELOPE_ONLY,NEUTRAL_GEOMETRY_BUILT,CAMERA_MODEL_SELECTION_HOLD;CAMERA_OPTICAL_CALIBRATION_HOLD;CONNECTOR_AND_CLAMP_GEOMETRY_HOLD;MOVING_HARNESS_SWEEP_HOLD
M-FINAL-06,V4_GRIPPER_LINK_MESH_COMPONENT,1,SOURCE_DONOR_MULTI_MATERIAL_UNKNOWN,216121.043,,MESH_COMPONENT_BINDING_ONLY,MESH_GROUP_ONLY_SOLIDWORKS_SAVE_BODIES_HOLD,MATERIAL_MASS_AND_NATIVE_PART_HOLD
M-FINAL-06,V4_GRIPPER_LEFT_MESH_COMPONENT,1,SOURCE_DONOR_MULTI_MATERIAL_UNKNOWN,43578.781,,MESH_COMPONENT_BINDING_ONLY,MESH_GROUP_ONLY_SOLIDWORKS_SAVE_BODIES_HOLD,MATERIAL_MASS_AND_NATIVE_PART_HOLD
M-FINAL-06,V4_GRIPPER_RIGHT_MESH_COMPONENT,1,SOURCE_DONOR_MULTI_MATERIAL_UNKNOWN,43578.781,,MESH_COMPONENT_BINDING_ONLY,MESH_GROUP_ONLY_SOLIDWORKS_SAVE_BODIES_HOLD,MATERIAL_MASS_AND_NATIVE_PART_HOLD
