interface_id,from_component,to_component,frame_contract,design_requirement,required_geometry_or_record,input_class,missing_input_and_completion_method,verification_id,verification_method,next_part_or_deliverable,responsible_work_package,status,source_basis
IF-011,ARM_RELEASE_ACTUATOR,ARM_RESTRAINT_LATCH,T_S_RELEASE及脱开位移方向明确,执行器全行程使锁扣退出最不利臂/线束包络且能地面复位,驱动接口/行程端点/退出包络/手动复位工具空间,NEW_DESIGN_REQUIREMENT,执行器型号行程力功耗寿命TBD；实选器件资料和组合件试验补齐,V03+V05,释放位移/反力/时间测量+低速序列,释放机构和支架图,WP03,DESIGN_REQUIREMENT_UNVERIFIED,既有HDRM工程包；旧6mm行程不是本构型已验证输入
IF-012,RELEASE_CONFIRM_SENSOR,ARM_RESTRAINT_LATCH,T_S_RELEASE_SENSOR及触发目标面记录,感知实际脱开状态且部分脱开/拒动不得被误报为已完全释放,传感器支架/触发间隙/接线/机械目标面,NEW_DESIGN_REQUIREMENT,传感器类型阈值误差TBD；器件资料与部分脱开故障试验补齐,V05+V12,触发位置实测+断线/卡滞/半脱开注入,释放确认支架及状态接口表,WP03+WP04,DESIGN_REQUIREMENT_UNVERIFIED,上一轮实施规划§6/7；既有HDRM功能包
IF-013,BUS_FIXED_HARNESS,ARM_BASE_CONNECTOR,T_S_CN_BUS和T_S_CN_ARM及插拔轴分别登记,固定干线独立应力释放且插拔/锁紧工具可达,真实连接器/背壳/线夹/插拔与工具包络,NEW_DESIGN_REQUIREMENT,接头型号脚数电缆外径TBD；实选连接器图和样段尺寸补齐,V01+V06+V07,连接器试插/锁紧+应力释放检查,臂根线夹/穿舱与连接器支架,WP04,DESIGN_REQUIREMENT_UNVERIFIED,只读审计HARNESS_TRUNK和CONNECTOR_SET
IF-014,ARM_BASE_SERVICE_LOOP,B601_FIRST_MOVING_LINK,固定端与移动端分别附属bus/link且禁止随姿态重设,服务环覆盖保持释放首动及工作区而不超动态弯曲/扭转限制,线芯/护套外径/固定点/余长/最小曲率/端部反力,MEASUREMENT_AND_VENDOR_TBD,动态弯曲半径扭转能力余长TBD；供应商值加真实样段循环测量,V03+V06,同固定点全路径形态与反力测量,根部过渡导向件和样段记录,WP04,DESIGN_REQUIREMENT_UNVERIFIED,只读审计Route-C复用范围；上一轮实施规划§4
IF-015,ARM_JOINT_DRESS_PACK,B601_LINKS_1_TO_6,每个夹点附属确定link局部frame,不以仅静态圆管代替全范围活动线束且各关节不累积超限扭转,逐段走线/线夹/活动环/护套及摩擦接触表,MEASUREMENT_AND_VENDOR_TBD,关节活动段力矩寿命和磨擦TBD；同实装电缆逐关节及组合轨迹试验,V03+V06,全程曲率/扭转/夹挤检查+循环试验,各关节线夹和活动段详细图,WP04,DESIGN_REQUIREMENT_UNVERIFIED,只读审计HARNESS_TRUNK；Route-C仅为参考资产
IF-016,B601_WRIST,FT_TOOL_STACK,T_S_WRIST*T_WRIST_FT*T_FT_TOOL并保留安装基准,末端转接不减少必需夹爪行程且有刚度/载荷与拆卸路径,法兰孔/定位止口/传感器包络/螺钉工具/线缆方向,NEW_DESIGN_REQUIREMENT,实选F/T与夹爪法兰载荷TBD；供应商图实物量测与工具载荷分析,V01+V02+V04+V10,末端试装+全行程+刚度与外参检查,F/T转接板和末端接口图,WP04,DESIGN_REQUIREMENT_UNVERIFIED,上一轮实施规划§7；夹爪接口登记
IF-017,GRIPPER_FINGERS,TARGET_COUPON,T_S_TCP与目标抓持frame成对定义,接触区域夹爪行程和目标接口相容并允许检查是否抓牢,掌/两指/滑轨/接触垫与目标实体及误差预算,NEW_DESIGN_REQUIREMENT,目标尺寸表面摩擦夹持力TBD；量测有效夹爪行程后设计靶标并低载试验,V02+V10+V11,行程/夹力/接触峰值与滑移试验,靶标图与接触接口卡,WP04,DESIGN_REQUIREMENT_UNVERIFIED,10_GRIPPER_INTERFACE.yaml；上一轮实施规划§6/7
IF-018,WRIST_CAMERA,TOOL_OR_WRIST_BRACKET,T_S_CAMERA=T_S_PARENT*T_PARENT_CAMERA且外参可标定,相机视场覆盖接近/抓持所需区域并留标定靶可达及线缆空间,实际相机/镜头/视锥/支架/标定工装,NEW_DESIGN_REQUIREMENT,相机型号FOV距离曝光/时间同步TBD；实选参数和装机标定补齐,V02+V10+V11,视场遮挡检查+外参/重投影测量,相机支架与标定记录,WP04,DESIGN_REQUIREMENT_UNVERIFIED,上一轮实施规划§7
IF-019,SOLAR_ROOT_LEFT_AND_RIGHT,BUS_PRIMARY_FRAME,T_S_WING_L和T_S_WING_R及各铰链轴固定,翼根安装/保持载荷进入框架且臂翼展开序列可实际执行,两翼完整折叠包络/铰链轴/锁止/保持器/紧固面,NEW_DESIGN_REQUIREMENT,翼实物结构惯量根部力矩及刚度TBD；实选翼件和折展机构分析补齐,V01+V03+V04+V08,双翼全程与臂联合检查+根部载荷/部署测试,翼根支架和机构接口图,WP05,DESIGN_REQUIREMENT_UNVERIFIED,只读审计SOLAR_R2；上一轮实施规划§4
IF-020,SOLAR_SERVICE_LOOPS,WING_ROOT_HINGES,电缆bus端与翼端frame各自固定,翼线缆服务环覆盖部署及锁止而不被铰链夹挤,实际连接器/活动环/护套/固定点/过孔,MEASUREMENT_AND_VENDOR_TBD,动态弯曲余长电缆力矩TBD；真实翼根样段与展开机构联合试验,V06+V08,线缆带载部署和最小曲率测量,翼根线束导向/穿舱支架,WP05+WP04,DESIGN_REQUIREMENT_UNVERIFIED,只读审计SOLAR_HARNESS
IF-021,AVIONICS_TRAYS,BUS_PRIMARY_FRAME,T_S_TRAY及设备安装面法向/抽出方向明确,连续设备舱包括结构线缆连接器和维护空间而不是空包络总体积,设备板/导轨/止挡/标准件/装入和抽出路径,NEW_DESIGN_REQUIREMENT,实选设备外形底脚插头TBD；供应商CAD与等尺寸样件试装补齐,V01+V07,设备连插头/工具实体装入检查,设备板导轨与抽出路径图,WP05,DESIGN_REQUIREMENT_UNVERIFIED,F4R1设备清单；只读审计BUS_INTERNAL_F4R1
IF-022,AVIONICS_BATTERY_DRIVERS,THERMAL_AND_POWER_INTERFACES,T_S_EQ与热接触面/线束接头局部frame明确,设备固定电连接与热路径一起设计且驱动更换不破坏主结构,设备包络/安装点/散热接触/线缆/绝缘与应力释放,NEW_DESIGN_REQUIREMENT,实选功耗温度热阻供电电流TBD；器件资料和台架测量补齐后设计导热/安装结构,V07+V11,实际设备试装+供电/热测量,设备接口与热安装表,WP05+WP04,DESIGN_REQUIREMENT_UNVERIFIED,F4R1 EQUIPMENT_LIST_V1候选不等于采购BOM
IF-023,COVERS_AND_ACCESS_PANELS,PRIMARY_STRUCTURE_AND_MOVING_SYSTEM,T_S_COVER及维护开口固定,覆盖件在全程运动不碰臂翼线束且关键紧固/插头仍可维护,面板/安装点/开口/拆卸路径/工具包络,NEW_DESIGN_REQUIREMENT,覆盖件材料厚度热布局TBD；整机运动与维护验证后确定,V02+V03+V07,加覆盖件后的全序列与拆装检查,覆盖件和维护开口图,WP02+WP05,DESIGN_REQUIREMENT_UNVERIFIED,上一轮实施规划§2/5/6
IF-024,ALL_PHYSICAL_INSTANCES,MASS_AND_ROBOT_MODEL,S系下各部件CG且惯量注明参考点/轴/配置,质量逐件单计且导出机器人模型与实装关节/安装/几何相同,零件号/版本/数量/质量类别/CG/I/视觉与碰撞引用,INHERITED_PLUS_MEASUREMENT_TBD,新件密度与真实设备质量TBD；CAD估算明确分类并以称重逐项替换,V09,质量对账+CG测量+姿态重算+模型引用检查,同配置BOM及数字交接表,WP06+WP08,DESIGN_REQUIREMENT_UNVERIFIED,既有M3R ICD V2；只读审计质量与具身交接
IF-025,GROUND_SUPPORT_FIXTURE,ARM_AND_SPACECRAFT,S到工装/实验室变换和卸载力方向登记,试装与地面动作的工装支承不通过非承载壳体或活动线束,工装支点/夹持/卸载点/限位/拆装路径,NEW_DESIGN_REQUIREMENT,台架能力重力卸载误差和安全工作载荷TBD；工装设计计算与空载/配重校核补齐,V04+V11+V12,工装能力验证+卸载量测+低速联调,组合件与整星试验工装图,WP07+WP08,DESIGN_REQUIREMENT_UNVERIFIED,上一轮实施规划§6；本包ASSEMBLY_AND_TEST_PLAN.md
