finding_id,blocks_gate,defer_to_gate,closure_kind,technical_status,a0_a6_disposition,closure_evidence_path,admission_effect
MRT-A5-010,NONE,G9_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,null,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
MRT-A4A5-011,NONE,G7_G9,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,null,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
MRT-A5-012,NONE,G9_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,null,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
MRT-A5-013,NONE,G9_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,null,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
MRT-CM-014,G1A,NONE,CURRENT_STATUS_RECOMPOSITION_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_PHASE2_CURRENT_GATE_COMPOSITION.json,NONE_AFTER_G1A_G1B_ISSUANCE
RBT-A2-001,NONE,G6_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_URDF_DEPENDENCY_AND_PARSER_GATE.yaml,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
RBT-A2-002,NONE,G4_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_URDF_DEPENDENCY_AND_PARSER_GATE.yaml,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
RBT-A2-003,NONE,G4_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_URDF_DEPENDENCY_AND_PARSER_GATE.yaml,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
RBT-A2-004,G1A,NONE,HUMAN_NAMING_AND_OWNERSHIP_FREEZE_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1A_FEATURE_NAMING_MACHINE_RATIFICATION.yaml,NONE_AFTER_G1A_G1B_ISSUANCE
RBT-A3-005,NONE,G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,null,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
RBT-A2-006,NONE,G4_G5,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,null,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
RBT-A8-007,NONE,G6_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,null,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
RBT-A8-008,NONE,G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,null,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
RBT-A3-009,NONE,G9_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,null,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
RBT-A0-010,G1B,NONE,G1B_ADMISSION_V2_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1B_STANDING_SESSION_ADMISSION.json,NONE_AFTER_G1A_G1B_ISSUANCE
FW-G1A-004,G1A,NONE,A0_A6_GATE_SCOPING_APPROVAL_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_AUTONOMOUS_FINDING_DISPOSITION_REGISTER_V2.csv,NONE_AFTER_G1A_G1B_ISSUANCE
A3A8-G8-003,NONE,G8_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,null,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
A3A8-G8-004,NONE,G8_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,null,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
AUT-QUORUM-001,G1A,NONE,DISTINCT_AGENT_QUORUM_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1A_MULTIAGENT_QUORUM_RECEIPT.json,NONE_AFTER_G1A_G1B_ISSUANCE
AUT-POOL-001,G1A,NONE,BOUNDED_SESSION_POOL_LEDGER_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_AUTONOMOUS_SESSION_POOL_LEDGER.json,NONE_AFTER_G1A_G1B_ISSUANCE
AUT-GATE-001,G1A,NONE,SYMBOLIC_GATE_TO_HASHED_RECEIPT_MAPPING_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,04_CONFIGURATION/B51R1_AUTONOMOUS_GATE_TRANSITION_MAP_V2.csv,NONE_AFTER_G1A_G1B_ISSUANCE
MRT2-G1A-001,G1A_G1B,NONE,VERSIONED_CLOSURE_WORKSET_AND_HASH_GRAPH_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_PHASE2A_INPUT_LOCK_V2_REFROZEN.json,NONE_AFTER_G1A_G1B_ISSUANCE
MRT2-G1A-002,G1A_G3,NONE,JOINT_SIDE_EXPLICIT_V2_PROPAGATION_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1A_FEATURE_OWNERSHIP_UNIQUENESS_RECEIPT.json,NONE_AFTER_G1A_G1B_ISSUANCE
MRT2-G1A-003,G1A_G3,NONE,READ_ONLY_ALIAS_REGISTER_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1A_FEATURE_ALIAS_REGISTER.csv,NONE_AFTER_G1A_G1B_ISSUANCE
MRT2-G1A-004,G1A_G2_G5,NONE,FOURTEEN_METRIC_REPEATABILITY_MAP_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1A_ACCEPTANCE_TOLERANCE_MACHINE_RATIFICATION.yaml,NONE_AFTER_G1A_G1B_ISSUANCE
MRT2-G1A-005,G1A,NONE,L1_QUARANTINE_RECEIPT_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_STAGE_A_LOCKFILE_QUARANTINE_RECEIPT.json,NONE_AFTER_G1A_G1B_ISSUANCE
MRT2-G1A-006,G1A_G7_G9,NONE,SKELETON_NO_LOAD_CREDIT_GUARDS_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1A_DATUM_MACHINE_RATIFICATION.yaml,NONE_AFTER_G1A_G1B_ISSUANCE
MRT2-G1A-007,G1A,NONE,ALL_ACTIVE_NAMING_DEPENDENCIES_REFREEZE_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_PHASE2A_INPUT_LOCK_V2_REFROZEN.json,NONE_AFTER_G1A_G1B_ISSUANCE
MRT2-G1A-008,G1A,NONE,G8A_STRUCTURE_G8B_DEPENDENCY_ORDER_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,04_CONFIGURATION/B51R1_AUTONOMOUS_SESSION_PLAN_V2.yaml,NONE_AFTER_G1A_G1B_ISSUANCE
RBT2-G1A-001,G1A,NONE,V2_NAMING_MATERIALIZATION_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1A_FEATURE_NAMING_MACHINE_RATIFICATION.yaml,NONE_AFTER_G1A_G1B_ISSUANCE
RBT2-G1A-002,G1A,NONE,LEGACY_CONTRACTS_NONEXECUTABLE_SUPERSESSION_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_PHASE2A_INPUT_LOCK_V2_REFROZEN.json,NONE_AFTER_G1A_G1B_ISSUANCE
RBT2-G1A-003,G1A,NONE,OWNER_LOCAL_TRANSFORM_FREEZE_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,03_CAD/10_KINEMATIC_CARRIERS/B51R1_JOINT_SIDE_FRAME_TRANSFORM_REGISTER_V2.csv,NONE_AFTER_G1A_G1B_ISSUANCE
RBT2-G1A-004,G1A,NONE,FEATURE_OWNERSHIP_UNIQUENESS_RECEIPT_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1A_FEATURE_OWNERSHIP_UNIQUENESS_RECEIPT.json,NONE_AFTER_G1A_G1B_ISSUANCE
AUT-BOUNDARY-001,G1A,NONE,ALL_TEN_NONDELEGABLE_BOUNDARIES_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_AUTONOMOUS_STANDING_DELEGATION_RECEIPT.json,NONE_AFTER_G1A_G1B_ISSUANCE
AUT-NAMING-ALIAS-001,G1A,NONE,FIXED_JOINT_ALIAS_TARGET_VALIDITY_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1A_FEATURE_OWNERSHIP_UNIQUENESS_RECEIPT.json,NONE_AFTER_G1A_G1B_ISSUANCE
MRT3-G1A-001,G1A_G1B,NONE,S01_MUST_REQUIRE_G1B_NOT_G1A_SYMBOL_ALONE,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,04_CONFIGURATION/B51R1_AUTONOMOUS_SESSION_PLAN_V2.yaml,NONE_AFTER_G1A_G1B_ISSUANCE
AUT-MANIFEST-001,G1A,NONE,COMPREHENSIVE_EXACT_CARDINALITY_MANIFEST_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_AUTONOMOUS_EXPECTED_ARTIFACT_MANIFEST_V3.csv,NONE_AFTER_G1A_G1B_ISSUANCE
AUT-EVIDENCE-PATH-001,G1A,NONE,CANDIDATE_ROOT_RELATIVE_EVIDENCE_PATHS_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1A_EVIDENCE_PATH_POLICY.yaml,NONE_AFTER_G1A_G1B_ISSUANCE
AUT-STATUS-001,G1A,NONE,H10_T005_CURRENT_SOURCE_HASH_BINDING_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_PHASE2_CURRENT_GATE_COMPOSITION.json,NONE_AFTER_G1A_G1B_ISSUANCE
MRT3-AUTH-001,G1A_G1B,NONE,S01_EXACT_G1B_ADMISSION_CHAIN_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,04_CONFIGURATION/B51R1_AUTONOMOUS_GATE_TRANSITION_MAP_V2.csv,NONE_AFTER_G1A_G1B_ISSUANCE
MRT3-NAME-002,G1A_G3,NONE,FIXED_JOINT_NO_MOVING_ALIAS_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1A_FEATURE_OWNERSHIP_UNIQUENESS_RECEIPT.json,NONE_AFTER_G1A_G1B_ISSUANCE
MRT3-CFG-003,G1A,NONE,PROTECTED_DATUM_HISTORICAL_GATE_HASH_SUPERSESSION_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_PHASE2_CURRENT_GATE_COMPOSITION.json,NONE_AFTER_G1A_G1B_ISSUANCE
MRT3-TRACE-004,G1A,NONE,ALL_MRT2_FINDINGS_EXPLICITLY_DISPOSITIONED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_AUTONOMOUS_FINDING_DISPOSITION_REGISTER_V2.csv,NONE_AFTER_G1A_G1B_ISSUANCE
MRT3-PLAN-005,G1A_G8B,NONE,EIGHT_EXACT_G8B_INPUT_RECEIPTS_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_AUTONOMOUS_EXPECTED_ARTIFACT_MANIFEST_V3.csv,NONE_AFTER_G1A_G1B_ISSUANCE
MRT3-DATUM-006,G1A_G7_G9,NONE,PANEL_PHYSICAL_CONTACT_CREDIT_ABSOLUTE_NONE_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1A_DATUM_MACHINE_RATIFICATION.yaml,NONE_AFTER_G1A_G1B_ISSUANCE
